# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
2	175.000	-0.293	-0.554	0.000	-39.992	-15.373
18	175.000	-0.106	-0.476	0.000	-36.044	-11.570
34	175.000	-0.421	-0.485	0.000	-36.043	-12.486
50	175.000	-0.471	-0.281	0.000	-37.187	9.077
66	175.000	-0.407	-0.159	0.000	-36.044	20.188
82	175.000	-0.461	-0.488	0.000	-36.044	-12.803
98	175.000	-0.420	-0.295	0.000	-36.045	6.542
114	175.000	-0.457	-0.567	0.000	-38.701	-17.999
130	175.000	-0.433	-0.151	0.000	-36.045	20.921
146	175.000	-0.430	-0.484	0.000	-36.045	-12.358
162	175.000	-0.452	-0.572	0.000	-36.044	-21.114
178	175.000	-0.468	-0.478	0.000	-36.046	-11.718
194	175.000	-0.495	-0.554	0.000	-36.045	-19.311
210	175.000	-0.471	-0.413	0.000	-36.045	-5.219
226	175.000	-0.406	-0.583	0.000	-36.045	-22.249
242	175.000	0.044	4.467	0.000	-36.046	-17.246
258	175.000	-0.364	-0.124	0.000	-36.046	23.693
274	175.000	-0.441	-0.264	0.000	-36.046	9.642
290	175.000	-0.467	-0.537	0.000	-36.045	-17.702
306	175.000	-0.013	4.476	0.000	-36.046	-16.305
322	175.000	-0.458	-0.354	0.000	-36.046	0.598
338	175.000	-0.468	-0.149	0.000	-36.046	21.139
354	175.000	-0.410	-0.214	0.000	-36.046	14.647
370	175.000	-0.477	-0.489	0.000	-36.045	-12.814
386	175.000	-0.494	-0.406	0.000	-36.045	-4.556
402	175.000	0.031	4.597	0.000	-36.046	-4.221
418	175.000	-0.457	-0.517	0.000	-36.045	-15.615
434	175.000	-0.429	-0.442	0.000	-36.046	-8.132
450	175.000	-0.393	-0.353	0.000	-36.046	0.763
466	175.000	-0.364	-0.149	0.000	-36.045	21.137
482	175.000	-0.451	-0.398	0.000	-36.045	-3.722
498	175.000	-0.415	-0.447	0.000	-36.045	-8.670
514	175.000	-0.453	-0.285	0.000	-36.044	7.562
530	175.000	-0.468	-0.514	0.000	-36.046	-15.317
546	175.000	-0.423	-0.375	0.000	-36.045	-1.468
562	175.000	-0.303	-0.159	0.000	-36.043	20.105
578	175.000	-0.400	-0.210	0.000	-37.187	16.195
594	175.000	-0.451	-0.476	0.000	-36.045	-11.596
610	175.000	-0.461	-0.224	0.000	-36.044	13.665
1266	175.000	-0.306	-0.206	0.000	-24.938	4.330
1282	175.000	-0.285	-0.491	0.000	-24.939	-24.144
1298	175.000	-0.361	-0.334	0.000	-24.939	-8.444
1314	175.000	-0.286	-0.182	0.000	-24.938	6.777
1330	175.000	-0.331	-0.308	0.000	-24.939	-5.837
