# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
7822	175.482
14382	175.482
7822	175.966
14382	175.966
7822	176.450
14382	176.450
7822	176.934
14382	176.934
7822	177.418
14382	177.419
7822	177.903
14382	177.904
1854	178.482
7822	178.388
14382	178.389
5582	178.983
7822	178.874
14382	178.874
1710	179.482
5070	179.483
7822	179.359
9294	179.482
10094	179.483
10190	179.482
11518	179.481
11646	179.482
12830	179.481
14382	179.360
2590	179.982
2750	179.981
2958	179.981
7822	179.845
10270	179.981
14382	179.845
5582	180.467
10094	180.467
11518	180.465
1854	180.967
2590	180.966
2894	180.981
10190	180.966
11870	180.983
14382	180.834
4350	181.482
11646	181.466
