# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
9	175.000	-0.413	-0.491	0.000	-36.043	-13.008
25	175.000	-0.451	-0.506	0.000	-37.508	-13.133
41	175.000	-0.454	-0.562	0.000	-36.044	-20.154
57	175.000	-0.529	-0.554	0.000	-36.044	-19.324
73	175.000	-0.398	-0.212	0.000	-36.045	14.836
89	175.000	-0.430	-0.316	0.000	-37.307	5.711
105	175.000	-0.406	-0.306	0.000	-36.045	5.482
121	175.000	-0.408	-0.194	0.000	-36.045	16.654
137	175.000	-0.458	-0.583	0.000	-36.044	-22.271
153	175.000	-0.416	-0.301	0.000	-36.046	5.946
169	175.000	-0.466	-0.346	0.000	-36.045	1.454
185	175.000	-0.376	-0.140	0.000	-36.045	22.051
201	175.000	0.060	4.704	0.000	-36.045	6.444
217	175.000	-0.447	-0.112	0.000	-36.045	24.889
233	175.000	-0.432	-0.410	0.000	-36.046	-4.972
249	175.000	-0.384	-0.222	0.000	-36.045	13.852
265	175.000	-0.458	-0.472	0.000	-36.045	-11.107
281	175.000	-0.413	-0.363	0.000	-36.045	-0.212
297	175.000	-0.469	-0.282	0.000	-36.046	7.846
313	175.000	-0.466	-0.244	0.000	-36.045	11.640
329	175.000	-0.441	-0.213	0.000	-36.046	14.775
345	175.000	-0.398	-0.175	0.000	-36.046	18.577
361	175.000	-0.352	-0.113	0.000	-36.046	24.701
377	175.000	-0.423	-0.606	0.000	-36.047	-24.598
393	175.000	-0.479	-0.577	0.000	-36.046	-21.682
409	175.000	-0.429	-0.418	0.000	-36.046	-5.782
425	175.000	-0.497	-0.448	0.000	-36.047	-8.710
441	175.000	-0.444	-0.148	0.000	-36.045	21.204
457	175.000	0.077	4.570	0.000	-36.045	-6.929
473	175.000	-0.444	-0.126	0.000	-36.046	23.478
489	175.000	0.032	4.737	1.000	-36.045	9.725
505	175.000	-0.434	-0.169	0.000	-36.046	19.182
521	175.000	-0.412	-0.295	0.000	-36.045	6.563
537	175.000	-0.472	-0.400	0.000	-36.044	-3.960
553	175.000	-0.475	-0.543	0.000	-36.045	-18.254
569	175.000	-0.444	-0.533	0.000	-36.045	-17.242
585	175.000	-0.417	-0.394	0.000	-36.043	-3.328
601	175.000	-0.147	-0.354	0.000	-38.448	3.037
617	175.000	-0.384	-0.280	0.000	-36.044	8.089
1257	175.000	-0.257	-0.100	0.000	-24.939	14.965
1273	175.000	-0.196	-0.007	0.000	-24.939	24.271
1289	175.000	-0.261	-0.095	0.000	-24.938	15.446
1305	175.000	-0.284	-0.255	0.000	-24.939	-0.522
1321	175.000	-0.341	-0.316	0.000	-24.938	-6.694
1337	175.000	-0.286	-0.221	0.000	-24.938	2.887
1353	175.000	-0.312	-0.146	0.000	-24.939	10.335
1369	175.000	-0.273	-0.428	0.000	-24.939	-17.825
1385	175.000	-0.307	-0.249	0.000	-24.939	0.051
1401	175.000	-0.341	-0.039	0.000	-24.939	20.990
1417	175.000	-0.373	-0.382	0.000	-24.939	-13.230
1433	175.000	-0.337	-0.458	0.000	-24.940	-20.851
1449	175.000	-0.273	-0.492	0.000	-24.940	-24.307
1465	175.000	-0.334	-0.290	0.000	-24.939	-4.090
1481	175.000	-0.311	-0.394	0.000	-24.941	-14.443
1497	175.000	-0.322	-0.344	0.000	-24.940	-9.457
1513	175.000	-0.333	-0.137	0.000	-24.940	11.252
1529	175.000	-0.308	-0.197	0.000	-24.940	5.233
1545	175.000	-0.277	-0.123	0.000	-24.940	12.683
1561	175.000	-0.354	-0.291	0.000	-24.940	-4.161
1577	175.000	-0.293	-0.029	0.000	-24.941	22.045
1593	175.000	-0.305	-0.444	0.000	-24.940	-19.471
1609	175.000	-0.284	-0.364	0.000	-24.940	-11.495
1625	175.000	-0.330	-0.433	0.000	-24.941	-18.350
1641	175.000	-0.295	-0.249	0.000	-24.940	0.047
1657	175.000	-0.341	-0.470	0.000	-24.940	-22.029
1673	175.000	-0.266	-0.138	0.000	-24.941	11.154
1689	175.000	-0.295	-0.288	0.000	-24.940	-3.875
1705	175.000	-0.317	-0.405	0.000	-24.940	-15.601
1721	175.000	-0.276	-0.321	0.000	-24.939	-7.131
1737	175.000	-0.227	-0.090	0.000	-24.940	15.926
1753	175.000	-0.329	-0.228	0.000	-24.940	2.093
1769	175.000	-0.377	-0.304	0.000	-24.939	-5.478
1785	175.000	-0.332	-0.421	0.000	-24.940	-17.147
1801	175.000	-0.339	-0.237	0.000	-24.940	1.214
1817	175.000	-0.339	-0.297	0.000	-24.939	-4.721
1833	175.000	-0.258	-0.309	0.000	-24.939	-5.933
1849	175.000	-0.325	-0.133	0.000	-24.939	11.594
1865	175.000	-0.328	-0.371	0.000	-24.938	-12.139
