# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
1	175.000	-0.481	-0.462	0.000	-39.125	-7.064
17	175.000	-0.438	-0.549	0.000	-36.044	-18.877
33	175.000	-0.434	-0.529	0.000	-36.044	-16.871
49	175.000	0.055	4.830	0.000	-36.044	19.025
65	175.000	-0.416	-0.482	0.000	-36.044	-12.116
81	175.000	-0.468	-0.293	0.000	-36.045	6.743
97	175.000	-0.451	-0.436	0.000	-36.045	-7.602
113	175.000	-0.450	-0.265	0.000	-37.307	10.802
129	175.000	-0.461	-0.576	0.000	-36.045	-21.515
145	175.000	-0.438	-0.375	0.000	-36.045	-1.475
161	175.000	0.032	4.710	0.000	-36.045	7.071
177	175.000	-0.470	-0.460	0.000	-36.046	-9.979
193	175.000	-0.430	-0.112	0.000	-36.045	24.888
209	175.000	-0.451	-0.155	0.000	-36.045	20.554
225	175.000	-0.458	-0.430	0.000	-36.045	-6.940
241	175.000	-0.488	-0.306	0.000	-36.046	5.439
257	175.000	-0.335	-0.596	0.000	-36.046	-23.528
273	175.000	-0.377	-0.445	0.000	-36.046	-8.497
289	175.000	-0.386	-0.472	0.000	-36.045	-11.128
305	175.000	-0.382	-0.142	0.000	-36.046	21.885
321	175.000	0.035	4.675	0.000	-36.045	3.523
337	175.000	-0.412	-0.231	0.000	-36.046	12.906
353	175.000	-0.398	-0.382	0.000	-36.047	-2.182
369	175.000	-0.417	-0.462	0.000	-36.046	-10.159
385	175.000	-0.403	-0.180	0.000	-36.046	18.081
401	175.000	-0.441	-0.494	0.000	-36.046	-13.373
417	175.000	-0.445	-0.428	0.000	-36.046	-6.732
433	175.000	-0.494	-0.581	0.000	-36.046	-22.087
449	175.000	-0.451	-0.357	0.000	-36.047	0.331
465	175.000	-0.482	-0.575	0.000	-36.045	-21.443
481	175.000	-0.498	-0.578	0.000	-36.045	-21.735
497	175.000	-0.444	-0.264	0.000	-36.046	9.617
513	175.000	-0.432	-0.219	0.000	-36.044	14.127
529	175.000	-0.452	-0.543	0.000	-36.046	-18.229
545	175.000	-0.406	-0.381	0.000	-36.045	-2.026
561	175.000	-0.468	-0.556	0.000	-36.043	-19.571
577	175.000	-0.452	-0.576	0.000	-37.509	-20.088
593	175.000	-0.414	-0.411	0.000	-36.044	-5.073
609	175.000	-0.446	-0.365	0.000	-36.044	-0.425
625	175.000	-0.459	-0.621	0.000	-37.187	-24.922
1265	175.000	-0.347	-0.007	0.000	-24.938	24.239
1281	175.000	-0.278	-0.177	0.000	-24.939	7.234
1297	175.000	-0.370	-0.443	0.000	-24.939	-19.341
1313	175.000	-0.340	-0.435	0.000	-24.938	-18.607
1329	175.000	-0.274	-0.393	0.000	-24.939	-14.347
1345	175.000	-0.300	-0.124	0.000	-24.938	12.571
1361	175.000	-0.304	-0.305	0.000	-24.939	-5.564
1377	175.000	-0.322	-0.385	0.000	-24.939	-13.548
1393	175.000	-0.370	-0.477	0.000	-24.939	-22.766
1409	175.000	-0.305	-0.153	0.000	-24.939	9.600
1425	175.000	-0.293	-0.086	0.000	-24.939	16.320
1441	175.000	-0.267	-0.075	0.000	-24.939	17.391
1457	175.000	-0.370	-0.461	0.000	-24.940	-21.144
1473	175.000	-0.252	-0.324	0.000	-24.940	-7.444
1489	175.000	-0.319	-0.015	0.000	-24.939	23.477
1505	175.000	-0.328	-0.480	0.000	-24.941	-23.097
1521	175.000	-0.320	-0.234	0.000	-24.940	1.578
1537	175.000	-0.253	-0.367	0.000	-24.940	-11.750
1553	175.000	-0.307	-0.326	0.000	-24.941	-7.632
1569	175.000	-0.263	-0.007	0.000	-24.940	24.249
1585	175.000	-0.296	-0.016	0.000	-24.940	23.358
1601	175.000	-0.279	-0.030	0.000	-24.941	21.975
1617	175.000	-0.333	-0.393	0.000	-24.940	-14.323
1633	175.000	-0.329	-0.001	0.000	-24.940	24.881
1649	175.000	-0.300	-0.144	0.000	-24.941	10.579
1665	175.000	-0.321	-0.205	0.000	-24.940	4.467
1681	175.000	-0.283	-0.039	0.000	-24.940	21.052
1697	175.000	-0.325	-0.169	0.000	-24.940	8.018
1713	175.000	-0.336	-0.363	0.000	-24.940	-11.383
1729	175.000	-0.319	-0.089	0.000	-24.940	16.069
1745	175.000	-0.353	-0.145	0.000	-24.939	10.413
1761	175.000	-0.264	-0.096	0.000	-24.940	15.305
1777	175.000	-0.349	-0.271	0.000	-24.940	-2.118
1793	175.000	-0.316	-0.221	0.000	-24.939	2.794
1809	175.000	-0.323	-0.179	0.000	-24.939	7.004
1825	175.000	-0.332	-0.344	0.000	-24.939	-9.416
1841	175.000	-0.329	-0.296	0.000	-24.938	-4.692
1857	175.000	-0.307	-0.080	0.000	-24.939	16.985
1873	175.000	-0.374	-0.348	0.000	-24.938	-9.847
2513	175.000	-0.564	-0.503	0.000	-47.136	-3.206
2529	175.000	-0.581	-0.521	0.000	-47.137	-4.919
2545	175.000	-0.630	-0.709	0.000	-47.137	-23.765
2561	175.000	-0.583	-0.408	0.000	-47.137	6.304
2577	175.000	-0.600	-0.636	0.000	-47.137	-16.454
2593	175.000	-0.625	-0.582	0.000	-47.137	-11.018
2609	175.000	-0.551	-0.316	0.000	-47.138	15.549
2625	175.000	-0.581	-0.591	0.000	-47.137	-11.989
2641	175.000	-0.540	-0.270	0.000	-47.137	20.133
2657	175.000	-0.589	-0.562	0.000	-47.139	-9.091
2673	175.000	-0.562	-0.675	0.000	-47.137	-20.350
2689	175.000	-0.586	-0.615	0.000	-47.138	-14.321
2705	175.000	-0.614	-0.484	0.000	-47.139	-1.226
2721	175.000	-0.616	-0.515	0.000	-47.137	-4.385
2737	175.000	-0.657	-0.324	0.000	-47.138	14.748
2753	175.000	-0.543	-0.320	0.000	-47.139	15.174
2769	175.000	-0.618	-0.434	0.000	-47.138	3.705
2785	175.000	-0.636	-0.524	0.000	-47.139	-5.289
2801	175.000	-0.561	-0.239	0.000	-47.140	23.286
2817	175.000	-0.549	-0.409	0.000	-47.138	6.208
2833	175.000	-0.625	-0.611	0.000	-47.140	-13.968
2849	175.000	-0.614	-0.644	0.000	-47.139	-17.238
2865	175.000	-0.559	-0.693	0.000	-47.138	-22.132
2881	175.000	-0.609	-0.323	0.000	-47.140	14.836
2897	175.000	-0.541	-0.548	0.000	-47.139	-7.640
2913	175.000	-0.594	-0.442	0.000	-47.138	2.957
2929	175.000	-0.619	-0.424	0.000	-47.140	4.701
2945	175.000	-0.558	-0.637	0.000	-47.138	-16.595
2961	175.000	-0.539	-0.562	0.000	-47.138	-9.101
2977	175.000	-0.608	-0.639	0.000	-47.139	-16.784
2993	175.000	-0.596	-0.693	0.000	-47.137	-22.187
3009	175.000	-0.582	-0.235	0.000	-47.139	23.686
3025	175.000	-0.555	-0.455	0.000	-47.138	1.589
3041	175.000	-0.581	-0.263	0.000	-47.136	20.808
3057	175.000	-0.584	-0.407	0.000	-47.137	6.414
3073	175.000	-0.584	-0.681	0.000	-47.136	-20.951
3089	175.000	-0.563	-0.333	0.000	-47.136	13.853
3105	175.000	-0.564	-0.317	0.000	-47.137	15.425
3121	175.000	-0.620	-0.587	0.000	-47.136	-11.549
3761	175.000	-0.492	-0.278	0.000	-45.020	17.175
3777	175.000	-0.549	-0.565	0.000	-45.018	-11.503
3793	175.000	-0.573	-0.538	0.000	-45.019	-8.766
3809	175.000	-0.594	-0.240	0.000	-45.020	21.060
3825	175.000	-0.620	-0.640	0.000	-45.020	-18.953
3841	175.000	-0.593	-0.515	0.000	-45.019	-6.469
3857	175.000	-0.581	-0.558	0.000	-45.020	-10.809
3873	175.000	-0.568	-0.336	0.000	-45.020	11.421
3889	175.000	-0.580	-0.635	0.000	-45.020	-18.454
3905	175.000	-0.538	-0.548	0.000	-45.021	-9.783
3921	175.000	-0.498	-0.230	0.000	-45.020	21.981
