# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
7	175.000	-0.436	-0.455	0.000	-36.044	-9.496
23	175.000	-0.463	-0.456	0.000	-36.044	-9.595
39	175.000	-0.395	-0.446	0.000	-36.044	-8.559
55	175.000	-0.469	-0.542	0.000	-36.044	-18.147
71	175.000	-0.428	-0.171	0.000	-36.045	18.962
87	175.000	-0.450	-0.555	0.000	-36.044	-19.483
103	175.000	-0.387	-0.298	0.000	-36.045	6.265
119	175.000	-0.408	-0.299	0.000	-36.045	6.167
135	175.000	-0.460	-0.337	0.000	-36.044	2.297
151	175.000	-0.469	-0.148	0.000	-36.046	21.215
167	175.000	-0.492	-0.460	0.000	-37.308	-8.674
183	175.000	-0.501	-0.511	0.000	-36.045	-15.082
199	175.000	-0.407	-0.493	0.000	-36.045	-13.285
215	175.000	-0.411	-0.190	0.000	-36.045	17.070
231	175.000	-0.426	-0.203	0.000	-36.045	15.698
247	175.000	-0.425	-0.575	0.000	-36.046	-21.449
263	175.000	-0.413	-0.343	0.000	-36.045	1.697
279	175.000	-0.427	-0.331	0.000	-36.046	2.943
295	175.000	-0.356	-0.286	0.000	-36.045	7.493
311	175.000	-0.411	-0.353	0.000	-36.045	0.738
327	175.000	-0.461	-0.499	0.000	-36.047	-13.808
343	175.000	-0.492	-0.499	0.000	-36.046	-13.846
359	175.000	-0.417	-0.224	0.000	-36.046	13.635
375	175.000	-0.496	-0.503	0.000	-36.047	-14.237
391	175.000	-0.080	-0.158	0.000	-36.046	20.199
407	175.000	-0.531	-0.365	0.000	-36.046	-0.419
423	175.000	-0.464	-0.205	0.000	-36.047	15.498
439	175.000	-0.469	-0.351	0.000	-36.045	0.983
455	175.000	-0.286	-0.490	0.000	-36.045	-12.945
471	175.000	-0.463	-0.323	0.000	-36.046	3.752
487	175.000	-0.287	-0.226	0.000	-36.045	13.471
503	175.000	-0.445	-0.373	0.000	-36.046	-1.284
519	175.000	-0.428	-0.411	0.000	-36.045	-5.043
535	175.000	-0.472	-0.527	0.000	-36.044	-16.612
551	175.000	-0.445	-0.319	0.000	-36.044	4.183
567	175.000	-0.463	-0.504	0.000	-36.044	-14.330
583	175.000	-0.393	-0.595	0.000	-36.044	-23.418
599	175.000	-0.391	-0.216	0.000	-36.044	14.431
615	175.000	-0.421	-0.557	0.000	-36.044	-19.680
1255	175.000	-0.276	-0.231	0.000	-24.939	1.847
1271	175.000	-0.271	-0.043	0.000	-24.938	20.654
1287	175.000	-0.279	-0.120	0.000	-24.938	12.923
1303	175.000	-0.259	-0.119	0.000	-24.939	13.016
1319	175.000	-0.282	-0.045	0.000	-24.938	20.472
1335	175.000	-0.307	-0.333	0.000	-24.938	-8.378
1351	175.000	-0.326	-0.170	0.000	-24.939	7.947
1367	175.000	-0.375	-0.329	0.000	-24.940	-7.966
1383	175.000	-0.275	-0.196	0.000	-24.939	5.365
1399	175.000	-0.327	-0.345	0.000	-24.939	-9.581
1415	175.000	-0.349	-0.114	0.000	-24.939	13.559
