# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
4	1434.000	-1.048	-0.681	0.000	-82.492	14.437
20	1434.000	-1.009	-0.791	0.000	-81.359	2.237
36	1434.000	-1.021	-1.054	0.000	-81.359	-24.089
52	1434.000	-1.021	-0.691	0.000	-81.368	12.251
68	1434.000	-1.034	-0.850	0.000	-81.381	-3.604
84	1434.000	-0.994	-0.684	0.000	-81.399	13.043
100	1434.000	-0.527	-0.752	0.000	-81.359	6.114
116	1434.000	-1.072	-0.837	0.000	-81.417	-2.276
132	1434.000	-1.045	-1.066	0.000	-81.748	-24.880
148	1434.000	-1.025	-0.922	0.000	-81.360	-10.890
164	1434.000	-0.980	-0.950	0.000	-81.359	-13.677
180	1434.000	-1.019	-0.874	0.000	-84.026	-3.364
196	1434.000	-1.041	-0.852	0.000	-83.147	-2.035
212	1434.000	-1.037	-0.624	0.000	-83.458	21.081
228	1434.000	-1.057	-1.035	0.000	-83.361	-20.159
244	1434.000	-1.017	-0.910	0.000	-82.023	-9.005
260	1434.000	-1.046	-0.960	0.000	-82.199	-13.795
276	1434.000	-1.061	-0.857	0.000	-83.443	-2.241
292	1434.000	-1.045	-0.925	0.000	-81.359	-11.120
308	1434.000	-1.048	-0.772	0.000	-82.271	5.092
324	1434.000	-1.031	-0.731	0.000	-83.007	9.929
340	1434.000	-1.006	-0.644	0.000	-83.708	19.342
356	1434.000	-1.027	-0.822	0.000	-81.424	-0.762
372	1434.000	-1.000	-0.954	0.000	-81.359	-14.059
388	1434.000	-1.022	-0.636	0.000	-82.950	19.314
404	1434.000	-1.052	-1.022	0.000	-81.422	-20.819
420	1434.000	-0.826	-0.698	0.000	-81.360	11.560
436	1434.000	-1.009	-0.844	0.000	-83.071	-1.305
452	1434.000	-0.991	-0.697	0.000	-81.725	12.016
468	1434.000	-1.103	-0.988	0.000	-83.193	-15.645
484	1434.000	-0.817	-0.639	0.000	-85.456	21.546
500	1434.000	-1.030	-0.631	0.000	-81.359	18.237
516	1434.000	-1.071	-1.011	0.000	-83.209	-17.880
532	1434.000	-1.099	-1.054	0.000	-83.700	-21.724
548	1434.000	-1.045	-0.947	0.000	-81.376	-13.317
564	1434.000	-1.041	-1.040	0.000	-81.422	-22.627
580	1434.000	-1.021	-0.820	0.000	-83.440	1.425
596	1434.000	-1.040	-0.585	0.000	-82.182	23.685
612	1434.000	-1.036	-0.853	0.000	-81.367	-3.932
1268	1434.000	-0.328	-0.138	0.000	-21.241	7.453
1284	1434.000	-0.260	-0.445	0.000	-21.802	-22.695
1300	1434.000	-0.239	-0.212	0.000	-21.241	0.032
1316	1434.000	-0.293	-0.423	0.000	-21.251	-21.055
1332	1434.000	-0.276	-0.163	0.000	-21.661	5.357
1348	1434.000	-0.316	-0.363	0.000	-21.243	-15.070
1364	1434.000	-0.318	-0.422	0.000	-21.509	-20.685
1380	1434.000	-0.308	-0.334	0.000	-21.418	-11.991
1396	1434.000	-0.302	-0.333	0.000	-21.243	-12.074
1412	1434.000	-0.309	-0.213	0.000	-21.253	-0.032
1428	1434.000	-0.253	-0.370	0.000	-21.704	-15.344
1444	1434.000	-0.199	0.009	0.000	-21.255	22.158
1460	1434.000	-0.243	0.012	0.000	-21.841	23.011
1476	1434.000	-0.195	0.014	0.000	-21.249	22.655
1492	1434.000	-0.224	-0.260	0.000	-21.362	-4.653
1508	1434.000	-0.278	-0.286	0.000	-21.992	-6.624
1524	1434.000	-0.299	-0.258	0.000	-21.250	-4.524
1540	1434.000	-0.310	-0.371	0.000	-21.755	-15.387
1556	1434.000	-0.236	-0.395	0.000	-21.968	-17.516
1572	1434.000	-0.239	-0.032	0.000	-21.587	18.339
1588	1434.000	-0.294	-0.321	0.000	-21.506	-10.640
1604	1434.000	-0.297	-0.318	0.000	-21.626	-10.179
1620	1434.000	-0.232	-0.168	0.000	-21.246	4.474
1636	1434.000	-0.335	-0.224	0.000	-21.341	-1.066
1652	1434.000	-0.332	-0.454	0.000	-21.381	-24.037
1668	1434.000	-0.326	-0.390	0.000	-21.425	-17.625
1684	1434.000	-0.279	-0.268	0.000	-21.805	-4.980
1700	1434.000	-0.297	-0.459	0.000	-21.250	-24.643
1716	1434.000	-0.324	-0.383	0.000	-21.283	-16.995
1732	1434.000	-0.294	-0.293	0.000	-21.737	-7.539
1748	1434.000	-0.224	-0.110	0.000	-21.327	10.284
1764	1434.000	-0.241	-0.329	0.000	-21.424	-11.443
1780	1434.000	-0.300	-0.231	0.000	-21.262	-1.881
1796	1434.000	-0.274	-0.093	0.000	-21.246	11.936
1812	1434.000	-0.267	-0.366	0.000	-21.567	-15.047
1828	1434.000	-0.247	-0.045	0.000	-21.245	16.705
1844	1434.000	-0.251	-0.312	0.000	-21.244	-9.985
1860	1434.000	-0.310	-0.393	0.000	-21.994	-17.297
1876	1434.000	-0.290	-0.229	0.000	-21.241	-1.613
2516	1434.000	-0.246	-0.215	0.000	-24.341	2.820
2532	1434.000	-0.273	-0.163	0.000	-24.814	8.482
2548	1434.000	-0.264	-0.201	0.000	-24.426	4.359
2564	1434.000	-0.271	-0.177	0.000	-24.823	7.145
2580	1434.000	-0.325	-0.339	0.000	-24.765	-9.094
2596	1434.000	-0.365	-0.339	0.000	-24.323	-9.593
2612	1434.000	-0.325	-0.317	0.000	-24.743	-6.928
2628	1434.000	-0.334	-0.395	0.000	-24.627	-14.824
2644	1434.000	-0.308	-0.431	0.000	-24.326	-18.823
2660	1434.000	-0.328	-0.413	0.000	-24.443	-16.848
