# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
13	1434.000	-1.011	-1.063	0.000	-81.395	-24.945
29	1434.000	-1.038	-0.601	0.000	-82.972	22.873
45	1434.000	-1.012	-0.911	0.000	-81.359	-9.759
61	1434.000	-0.976	-0.650	0.000	-81.381	16.420
77	1434.000	-0.992	-0.686	0.000	-81.378	12.757
93	1434.000	-0.994	-0.775	0.000	-81.386	3.857
109	1434.000	-1.010	-1.055	0.000	-81.399	-24.079
125	1434.000	-0.999	-0.819	0.000	-81.359	-0.531
141	1434.000	-1.012	-0.835	0.000	-81.386	-2.076
157	1434.000	-1.013	-1.045	0.000	-82.131	-22.392
173	1434.000	-1.008	-0.728	0.000	-82.215	9.436
189	1434.000	-1.014	-0.998	0.000	-81.726	-18.078
205	1434.000	-1.008	-0.648	0.000	-83.849	19.070
221	1434.000	-1.090	-1.022	0.000	-82.754	-19.484
237	1434.000	-1.116	-0.718	0.000	-84.064	12.274
253	1434.000	-0.973	-0.577	0.000	-82.145	24.405
269	1434.000	-0.893	-0.595	0.000	-81.360	21.820
285	1434.000	-1.112	-0.853	0.000	-81.789	-3.468
301	1434.000	-1.000	-0.624	0.000	-83.024	20.590
317	1434.000	-1.054	-0.874	0.000	-82.115	-5.282
333	1434.000	-0.992	-0.980	0.000	-81.383	-16.643
349	1434.000	-1.040	-0.955	0.000	-82.171	-13.339
365	1434.000	-1.068	-0.601	0.000	-84.992	24.903
381	1434.000	-1.055	-0.785	0.000	-81.412	2.912
397	1434.000	-1.016	-0.772	0.000	-81.360	4.155
413	1434.000	-0.542	4.390	1.000	-82.406	21.455
429	1434.000	-1.016	-0.962	0.000	-81.428	-14.736
445	1434.000	-1.009	-0.811	0.000	-81.360	0.279
461	1434.000	-1.028	-0.782	0.000	-83.345	5.187
477	1434.000	-1.047	-0.839	0.000	-82.126	-1.783
493	1434.000	-1.069	-0.996	0.000	-84.078	-15.477
509	1434.000	-1.088	-1.056	0.000	-85.587	-20.012
525	1434.000	-1.004	-1.035	0.000	-81.359	-22.140
541	1434.000	-0.857	-1.040	0.000	-82.266	-21.768
557	1434.000	-1.075	-0.978	0.000	-83.365	-14.392
573	1434.000	-0.980	-0.662	0.000	-81.381	15.180
589	1434.000	-1.041	-0.756	0.000	-81.403	5.813
605	1434.000	-1.002	-0.676	0.000	-82.983	15.375
621	1434.000	-0.986	-0.600	0.000	-81.381	21.339
1261	1434.000	-0.241	-0.097	0.000	-21.555	11.823
1277	1434.000	-0.272	-0.194	0.000	-21.241	1.860
1293	1434.000	-0.242	-0.153	0.000	-21.241	5.926
1309	1434.000	-0.265	-0.287	0.000	-21.602	-7.078
1325	1434.000	-0.210	-0.202	0.000	-21.241	1.044
1341	1434.000	-0.309	0.023	0.000	-21.254	23.599
1357	1434.000	-0.279	-0.369	0.000	-21.423	-15.485
1373	1434.000	-0.245	-0.016	0.000	-21.246	19.610
1389	1434.000	-0.300	-0.132	0.000	-21.506	8.302
1405	1434.000	-0.290	-0.211	0.000	-21.605	0.542
1421	1434.000	-0.277	-0.179	0.000	-21.245	3.329
1437	1434.000	-0.298	-0.049	0.000	-21.498	16.582
1453	1434.000	-0.292	-0.061	0.000	-21.601	15.488
1469	1434.000	-0.293	-0.239	0.000	-21.252	-2.667
1485	1434.000	-0.358	-0.357	0.000	-22.215	-13.500
1501	1434.000	-0.249	-0.453	0.000	-21.247	-24.092
1517	1434.000	-0.260	-0.235	0.000	-21.490	-2.032
1533	1434.000	-0.358	-0.445	0.000	-22.107	-22.357
1549	1434.000	-0.282	-0.073	0.000	-21.453	14.200
1565	1434.000	-0.256	-0.085	0.000	-21.483	12.976
1581	1434.000	-0.271	-0.042	0.000	-21.975	17.800
1597	1434.000	-0.258	-0.208	0.000	-21.682	0.832
1613	1434.000	-0.242	-0.276	0.000	-21.334	-6.274
1629	1434.000	-0.250	-0.073	0.000	-21.467	14.118
1645	1434.000	-0.301	-0.427	0.000	-21.503	-21.162
1661	1434.000	-0.245	-0.056	0.000	-21.588	16.010
1677	1434.000	-0.247	-0.289	0.000	-21.248	-7.622
1693	1434.000	-0.354	-0.052	0.000	-21.474	16.324
1709	1434.000	-0.249	-0.311	0.000	-22.035	-9.083
1725	1434.000	-0.295	-0.321	0.000	-21.249	-10.879
1741	1434.000	-0.235	-0.084	0.000	-21.246	12.845
1757	1434.000	-0.276	-0.403	0.000	-21.635	-18.664
1773	1434.000	-0.247	-0.097	0.000	-21.245	11.593
1789	1434.000	-0.249	-0.387	0.000	-21.253	-17.454
1805	1434.000	-0.229	0.031	0.000	-21.255	24.306
1821	1434.000	-0.235	-0.054	0.000	-21.245	15.841
1837	1434.000	-0.268	-0.385	0.000	-21.547	-16.997
1853	1434.000	-0.240	-0.173	0.000	-21.244	3.930
1869	1434.000	-0.297	-0.098	0.000	-21.241	11.480
2509	1434.000	-0.303	-0.132	0.000	-24.378	11.186
2525	1434.000	-0.283	-0.238	0.000	-24.530	0.711
2541	1434.000	-0.295	-0.271	0.000	-24.344	-2.751
2557	1434.000	-0.427	-0.439	0.000	-25.202	-18.714
2573	1434.000	-0.316	-0.084	0.000	-24.324	15.913
2589	1434.000	-0.311	-0.122	0.000	-24.819	12.662
2605	1434.000	-0.327	-0.365	0.000	-24.807	-11.650
2621	1434.000	-0.287	-0.380	0.000	-24.321	-13.650
2637	1434.000	-0.253	-0.162	0.000	-24.438	8.213
2653	1434.000	-0.368	-0.317	0.000	-24.963	-6.705
2669	1434.000	-0.232	-0.035	0.000	-24.322	20.799
2685	1434.000	-0.349	-0.315	0.000	-24.553	-6.981
2701	1434.000	-0.287	-0.416	0.000	-24.418	-17.214
2717	1434.000	-0.308	-0.053	0.000	-24.318	19.023
2733	1434.000	-0.285	-0.092	0.000	-24.535	15.290
2749	1434.000	-0.298	-0.164	0.000	-24.315	7.961
2765	1434.000	-0.319	-0.315	0.000	-24.554	-6.990
2781	1434.000	-0.300	-0.381	0.000	-24.348	-13.734
2797	1434.000	-0.299	-0.414	0.000	-24.319	-17.095
2813	1434.000	-0.321	-0.165	0.000	-25.459	8.999
2829	1434.000	-0.316	-0.400	0.000	-24.333	-15.704
2845	1434.000	-0.323	-0.046	0.000	-24.495	19.866
2861	1434.000	-0.312	-0.251	0.000	-25.704	0.573
2877	1434.000	-0.259	-0.041	0.000	-24.322	20.173
2893	1434.000	-0.300	-0.178	0.000	-25.412	7.609
2909	1434.000	-0.263	-0.197	0.000	-24.903	5.163
2925	1434.000	-0.322	-0.203	0.000	-24.329	4.038
2941	1434.000	-0.341	-0.353	0.000	-24.612	-10.694
2957	1434.000	-0.328	-0.447	0.000	-24.811	-19.879
2973	1434.000	-0.273	-0.394	0.000	-24.457	-14.901
2989	1434.000	-0.245	-0.075	0.000	-24.415	16.897
3005	1434.000	-0.322	-0.146	0.000	-24.327	9.719
3021	1434.000	-0.290	-0.131	0.000	-24.713	11.616
3037	1434.000	-0.272	-0.073	0.000	-24.336	17.077
3053	1434.000	-0.279	-0.301	0.000	-24.322	-5.807
3069	1434.000	-0.292	-0.307	0.000	-24.323	-6.409
3085	1434.000	-0.297	-0.245	0.000	-24.529	0.058
3101	1434.000	-0.286	-0.245	0.000	-24.420	-0.101
3117	1434.000	-0.324	-0.409	0.000	-24.329	-16.562
3757	1434.000	-0.147	-0.315	0.000	-13.933	-17.611
3773	1434.000	-0.124	-0.280	0.000	-13.934	-14.071
3789	1434.000	-0.189	-0.147	0.000	-14.127	-0.560
3805	1434.000	-0.211	-0.363	0.000	-13.928	-22.360
3821	1434.000	-0.154	-0.331	0.000	-13.926	-19.141
3837	1434.000	-0.176	-0.117	0.000	-13.951	2.293
3853	1434.000	-0.251	-0.229	0.000	-13.931	-9.007
