# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
15	1434.000	-1.006	-0.863	0.000	-81.397	-4.909
31	1434.000	-1.045	-0.835	0.000	-83.009	-0.481
47	1434.000	-0.973	-0.680	0.000	-81.359	13.370
63	1434.000	-1.046	-0.760	0.000	-81.403	5.373
79	1434.000	-1.015	-0.949	0.000	-83.025	-11.858
95	1434.000	-0.971	-0.674	0.000	-81.359	13.976
111	1434.000	-1.021	-1.001	0.000	-81.418	-18.659
127	1434.000	-0.995	-0.939	0.000	-81.378	-12.513
143	1434.000	-1.030	-0.953	0.000	-81.685	-13.646
159	1434.000	-1.052	-0.923	0.000	-81.367	-10.941
175	1434.000	-1.087	-1.023	0.000	-82.585	-19.730
191	1434.000	-1.033	-0.978	0.000	-81.359	-16.431
207	1434.000	-1.061	-0.723	0.000	-83.233	10.966
223	1434.000	-1.013	-0.604	0.000	-83.665	23.252
239	1434.000	-1.046	-0.801	0.000	-82.348	2.229
255	1434.000	-1.022	-0.797	0.000	-82.486	2.746
271	1434.000	-0.986	-0.603	0.000	-81.359	21.018
287	1434.000	-0.984	-0.628	0.000	-82.386	19.592
303	1434.000	-0.686	-0.969	0.000	-81.408	-15.487
319	1434.000	-0.992	-0.638	0.000	-81.359	17.527
335	1434.000	-0.930	-0.928	0.000	-83.485	-9.355
351	1434.000	-1.059	-0.830	0.000	-81.440	-1.538
367	1434.000	-1.042	-0.967	0.000	-84.991	-11.682
383	1434.000	-0.763	-0.980	0.000	-81.359	-16.658
399	1434.000	-1.014	-0.708	0.000	-81.376	10.542
415	1434.000	-0.951	-0.636	0.000	-83.709	20.136
431	1434.000	-0.918	-0.897	0.000	-81.786	-7.964
447	1434.000	-1.021	-0.871	0.000	-81.360	-5.730
463	1434.000	-1.052	-0.804	0.000	-82.971	2.583
479	1434.000	-1.091	-0.661	0.000	-83.501	17.446
495	1434.000	-0.527	-0.602	0.000	-82.355	22.171
511	1434.000	-0.999	-0.686	0.000	-83.967	15.399
527	1434.000	-1.051	-0.990	0.000	-82.125	-16.840
543	1434.000	-1.039	-0.939	0.000	-83.226	-10.655
559	1434.000	-0.618	-0.842	0.000	-82.338	-1.893
575	1434.000	-0.967	-0.826	0.000	-81.359	-1.271
591	1434.000	-1.027	-0.857	0.000	-81.395	-4.312
607	1434.000	-1.004	-0.602	0.000	-83.024	22.802
623	1434.000	-1.051	-0.987	0.000	-81.367	-17.355
1263	1434.000	-0.278	-0.164	0.000	-21.265	4.867
1279	1434.000	-0.214	-0.167	0.000	-21.423	4.734
1295	1434.000	-0.256	-0.361	0.000	-21.242	-14.889
1311	1434.000	-0.229	-0.032	0.000	-21.471	18.290
1327	1434.000	-0.272	-0.264	0.000	-21.241	-5.138
1343	1434.000	-0.247	-0.060	0.000	-21.249	15.295
1359	1434.000	-0.263	-0.282	0.000	-21.244	-6.950
1375	1434.000	-0.222	-0.211	0.000	-21.246	0.164
1391	1434.000	-0.292	-0.438	0.000	-21.427	-22.328
1407	1434.000	-0.248	-0.071	0.000	-21.337	14.200
1423	1434.000	-0.309	-0.062	0.000	-21.246	15.037
1439	1434.000	-0.297	-0.452	0.000	-21.577	-23.672
1455	1434.000	-0.251	-0.108	0.000	-21.600	10.766
1471	1434.000	-0.245	-0.016	0.000	-21.245	19.650
1487	1434.000	-0.260	-0.260	0.000	-22.576	-3.401
1503	1434.000	-0.254	-0.162	0.000	-21.241	5.057
