# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
427	997.974
459	997.974
6747	997.983
427	998.458
459	998.458
6747	998.467
427	998.942
459	998.942
6747	998.951
427	999.427
459	999.426
6747	999.436
427	999.912
459	999.911
6747	999.920
427	1000.396
459	1000.396
6747	1000.405
427	1000.882
459	1000.881
5595	1000.983
6747	1000.890
11595	1000.982
13019	1000.983
427	1001.367
459	1001.367
5243	1001.483
6747	1001.375
427	1001.853
459	1001.852
5195	1001.983
6747	1001.861
10299	1001.983
11499	1001.983
11595	1001.966
3099	1002.483
5515	1002.477
6747	1002.346
6747	1002.832
10299	1002.967
11499	1002.967
11595	1002.950
13019	1002.967
459	1003.343
1835	1003.483
5595	1003.468
11339	1003.483
12827	1003.483
