# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
324	126.981
100068	126.983
220228	126.981
220244	126.981
324	127.465
100068	127.467
220228	127.465
220244	127.465
324	127.949
100068	127.951
220228	127.949
220244	127.949
324	128.434
100068	128.436
220228	128.434
220244	128.433
324	128.918
100068	128.920
220228	128.918
220244	128.918
324	129.403
100068	129.405
220228	129.403
220244	129.403
324	129.888
100068	129.890
189940	129.983
220228	129.888
220244	129.888
324	130.373
20420	130.479
69636	130.483
100068	130.375
220228	130.373
220244	130.373
100068	130.861
149972	130.983
220228	130.859
220244	130.859
324	131.361
49604	131.483
69844	131.483
100068	131.346
180212	131.483
200388	131.478
220244	131.344
69636	131.968
189940	131.968
220244	131.831
220228	133.354
