# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
12	126.000	-1.037	-0.650	0.000	-80.540	15.495
28	126.000	-1.015	-0.945	0.000	-78.808	-15.684
44	126.000	-0.972	-0.759	0.000	-78.815	2.921
60	126.000	-1.010	-0.813	0.000	-78.841	-2.433
76	126.000	-0.996	-0.863	0.000	-79.616	-6.669
92	126.000	-0.986	-0.618	0.000	-78.808	17.048
108	126.000	-1.016	-0.783	0.000	-80.361	2.072
124	126.000	-1.041	-1.010	0.000	-79.653	-21.368
140	126.000	-1.008	-0.671	0.000	-80.764	13.629
156	126.000	-0.982	-0.820	0.000	-78.808	-3.164
172	126.000	-0.988	-0.812	0.000	-78.855	-2.348
188	126.000	-1.000	-0.904	0.000	-78.808	-11.626
204	126.000	-0.453	-0.750	0.000	-78.849	3.818
220	126.000	-1.034	-0.828	0.000	-80.003	-2.765
236	126.000	-1.048	-0.720	0.000	-81.846	9.824
252	126.000	-1.040	-0.969	0.000	-80.802	-16.118
268	126.000	-0.965	-0.603	0.000	-79.746	19.459
284	126.000	-1.024	-0.872	0.000	-80.748	-6.445
300	126.000	-0.864	-0.869	0.000	-78.860	-8.066
316	126.000	-1.040	-1.014	0.000	-79.742	-21.694
332	126.000	-0.964	-0.835	0.000	-78.808	-4.697
348	126.000	-0.881	-0.872	0.000	-80.788	-6.421
364	126.000	-1.015	-0.976	0.000	-81.361	-16.271
380	126.000	-1.006	-0.981	0.000	-79.527	-18.561
396	126.000	-0.978	-0.772	0.000	-78.808	1.639
412	126.000	-0.935	-0.673	0.000	-78.808	11.557
428	126.000	-0.939	-0.583	0.000	-80.332	22.047
444	126.000	-0.957	-0.671	0.000	-78.815	11.677
460	126.000	-1.039	-0.843	0.000	-78.870	-5.391
476	126.000	-1.019	-0.703	0.000	-79.770	9.512
492	126.000	-0.974	-0.673	0.000	-80.342	12.999
508	126.000	-0.959	-0.540	0.000	-78.837	24.869
524	126.000	-1.035	-0.659	0.000	-80.861	14.937
540	126.000	-0.990	-1.026	0.000	-78.808	-23.802
556	126.000	-0.998	-0.890	0.000	-78.844	-10.136
572	126.000	-0.971	-0.632	0.000	-79.532	16.355
588	126.000	-0.964	-0.542	0.000	-78.808	24.650
604	126.000	-0.937	-0.586	0.000	-78.832	20.204
620	126.000	-0.576	-0.873	0.000	-78.808	-8.467
636	126.000	-0.996	-0.589	0.000	-78.808	19.928
652	126.000	-0.951	-0.622	0.000	-78.808	16.606
668	126.000	-0.985	-0.858	0.000	-78.808	-6.973
684	126.000	-1.032	-1.020	0.000	-78.808	-23.223
700	126.000	-0.957	-0.953	0.000	-78.815	-16.501
716	126.000	-0.959	-0.841	0.000	-78.808	-5.290
732	126.000	-1.032	-0.997	0.000	-78.808	-20.852
748	126.000	-0.946	-0.557	0.000	-78.808	23.084
764	126.000	-0.964	-0.599	0.000	-78.824	18.887
780	126.000	-0.991	-0.922	0.000	-78.808	-13.417
796	126.000	-0.982	-0.866	0.000	-78.808	-7.767
812	126.000	-0.979	-0.946	0.000	-78.808	-15.829
828	126.000	-0.938	-0.556	0.000	-78.808	23.191
844	126.000	-1.008	-0.958	0.000	-78.808	-17.017
860	126.000	-0.983	-0.610	0.000	-78.808	17.843
876	126.000	-0.963	-0.861	0.000	-78.808	-7.245
892	126.000	-1.057	-0.988	0.000	-78.808	-19.949
908	126.000	-0.987	-0.725	0.000	-78.808	6.314
924	126.000	-0.956	-0.646	0.000	-78.808	14.218
940	126.000	-1.016	-1.021	0.000	-78.808	-23.319
956	126.000	-1.073	-0.997	0.000	-78.808	-20.941
972	126.000	-1.048	-0.845	0.000	-78.808	-5.682
988	126.000	-1.007	-0.935	0.000	-78.808	-14.686
1004	126.000	-0.979	-0.994	0.000	-78.808	-20.596
1020	126.000	-0.970	-0.864	0.000	-78.808	-7.632
1036	126.000	-0.871	-1.028	0.000	-78.808	-23.967
1052	126.000	-1.038	-0.986	0.000	-78.808	-19.783
1068	126.000	-0.922	-0.607	0.000	-78.808	18.134
1084	126.000	-0.954	-0.645	0.000	-78.808	14.351
1100	126.000	-0.937	-0.557	0.000	-78.808	23.154
