# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
6	1662.000	-0.930	-0.796	0.000	-79.416	-0.182
22	1662.000	-1.013	-0.611	0.000	-78.572	17.480
38	1662.000	-1.028	-0.897	0.000	-79.841	-9.845
54	1662.000	-1.037	-0.994	0.000	-80.177	-19.213
70	1662.000	-0.979	-0.548	0.000	-78.902	24.072
86	1662.000	-0.911	-0.747	0.000	-78.639	3.940
102	1662.000	-0.941	-0.841	0.000	-78.555	-5.524
118	1662.000	-0.945	-0.687	0.000	-79.219	10.484
134	1662.000	-1.028	-0.815	0.000	-80.233	-1.288
150	1662.000	-0.987	-0.584	0.000	-80.169	21.808
166	1662.000	-0.968	-0.897	0.000	-78.951	-10.756
182	1662.000	-0.807	-0.787	0.000	-78.601	-0.118
198	1662.000	-1.039	-0.922	0.000	-80.169	-11.984
214	1662.000	-0.962	-0.668	0.000	-78.607	11.806
230	1662.000	-0.960	-0.634	0.000	-78.555	15.135
246	1662.000	-1.000	-0.804	0.000	-79.312	-1.118
262	1662.000	-1.019	-0.819	0.000	-78.555	-3.343
278	1662.000	-0.937	-0.601	0.000	-78.577	18.446
294	1662.000	-0.918	-0.633	0.000	-78.572	15.321
310	1662.000	-0.990	-0.807	0.000	-78.577	-2.135
326	1662.000	-0.924	-0.582	0.000	-78.647	20.466
342	1662.000	-0.999	-0.805	0.000	-78.601	-1.939
358	1662.000	-1.029	-1.031	0.000	-79.360	-23.705
374	1662.000	-0.955	-0.641	0.000	-78.577	14.501
390	1662.000	-1.010	-0.854	0.000	-80.734	-4.660
406	1662.000	-0.969	-0.661	0.000	-79.333	13.200
422	1662.000	-0.995	-0.976	0.000	-80.662	-16.980
438	1662.000	-0.996	-0.706	0.000	-80.384	9.755
454	1662.000	-1.027	-0.717	0.000	-81.227	9.556
470	1662.000	-0.966	-0.978	0.000	-79.353	-18.437
486	1662.000	-1.005	-0.719	0.000	-78.555	6.641
502	1662.000	-0.998	-0.862	0.000	-79.377	-6.838
518	1662.000	-0.995	-0.625	0.000	-78.592	16.074
534	1662.000	-0.681	-1.041	0.000	-79.274	-24.806
550	1662.000	-0.998	-0.797	0.000	-78.610	-1.124
566	1662.000	-1.035	-0.752	0.000	-79.219	4.001
582	1662.000	-0.949	-0.602	0.000	-79.240	19.051
598	1662.000	-0.953	-0.594	0.000	-78.632	19.185
614	1662.000	-0.992	-0.891	0.000	-81.101	-7.953
1254	1662.000	-0.357	-0.327	0.000	-24.650	-8.100
1270	1662.000	-0.314	-0.428	0.000	-24.930	-17.830
1286	1662.000	-0.292	-0.356	0.000	-25.174	-10.387
1302	1662.000	-0.246	-0.063	0.000	-24.852	18.550
1318	1662.000	-0.330	-0.461	0.000	-24.793	-21.347
