# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
8	1662.000	-1.009	-0.713	0.000	-82.601	11.298
24	1662.000	-1.031	-0.999	0.000	-78.572	-21.317
40	1662.000	-0.858	-0.691	0.000	-82.021	12.959
56	1662.000	-1.003	-0.662	0.000	-81.419	15.170
72	1662.000	-0.946	-0.556	0.000	-78.555	22.979
88	1662.000	-1.010	-0.906	0.000	-79.020	-11.579
104	1662.000	-1.020	-0.731	0.000	-80.191	7.070
120	1662.000	-1.009	-0.940	0.000	-79.219	-14.802
136	1662.000	-0.919	-0.943	0.000	-78.639	-15.706
152	1662.000	-0.543	-0.926	0.000	-78.555	-14.016
168	1662.000	-0.787	-0.719	0.000	-82.097	10.213
184	1662.000	-0.979	-0.872	0.000	-78.601	-8.568
200	1662.000	-1.017	-0.793	0.000	-80.169	0.862
216	1662.000	-0.963	-0.647	0.000	-79.571	14.888
232	1662.000	-1.006	-0.756	0.000	-78.572	2.929
248	1662.000	-0.973	-0.789	0.000	-78.555	-0.348
264	1662.000	-0.978	-0.988	0.000	-78.555	-20.212
280	1662.000	-0.978	-1.018	0.000	-78.555	-23.242
296	1662.000	-1.003	-0.933	0.000	-78.555	-14.719
312	1662.000	-1.012	-0.806	0.000	-78.564	-2.039
328	1662.000	-0.977	-0.805	0.000	-79.367	-1.086
344	1662.000	-1.024	-1.009	0.000	-78.572	-22.346
360	1662.000	-1.028	-0.855	0.000	-80.725	-4.811
376	1662.000	-0.896	-0.821	0.000	-79.149	-2.998
392	1662.000	-0.982	-0.838	0.000	-79.545	-4.268
408	1662.000	-0.970	-0.903	0.000	-79.346	-10.926
424	1662.000	-1.007	-0.736	0.000	-78.565	4.941
440	1662.000	-0.981	-0.907	0.000	-81.381	-9.311
456	1662.000	-1.016	-0.855	0.000	-78.555	-6.956
472	1662.000	-0.613	-0.831	0.000	-79.395	-3.717
488	1662.000	-0.958	-0.540	0.000	-78.601	24.614
504	1662.000	-1.002	-0.989	0.000	-79.369	-19.551
520	1662.000	-0.961	-1.033	0.000	-78.565	-24.782
536	1662.000	-0.994	-0.834	0.000	-79.245	-4.192
552	1662.000	-0.979	-0.834	0.000	-78.613	-4.806
568	1662.000	-0.932	-0.653	0.000	-78.555	13.287
584	1662.000	-1.060	-0.857	0.000	-82.216	-3.490
600	1662.000	-1.008	-0.677	0.000	-78.624	10.916
616	1662.000	-1.035	-0.875	0.000	-81.829	-5.720
1256	1662.000	-0.228	-0.303	0.000	-24.792	-5.513
1272	1662.000	-0.381	-0.322	0.000	-24.867	-7.324
1288	1662.000	-0.306	-0.191	0.000	-24.843	5.769
1304	1662.000	-0.331	-0.325	0.000	-24.649	-7.825
1320	1662.000	-0.381	-0.422	0.000	-25.183	-17.030
1336	1662.000	-0.301	-0.450	0.000	-24.948	-20.098
1352	1662.000	-0.329	-0.449	0.000	-24.760	-20.111
1368	1662.000	-0.292	-0.235	0.000	-24.715	1.243
1384	1662.000	-0.338	-0.007	0.000	-24.565	23.841
1400	1662.000	-0.290	-0.278	0.000	-24.854	-2.994
1416	1662.000	-0.305	-0.381	0.000	-24.646	-13.495
1432	1662.000	-0.268	-0.052	0.000	-24.758	19.545
1448	1662.000	-0.292	-0.014	0.000	-24.991	23.558
1464	1662.000	-0.244	-0.139	0.000	-24.937	11.059
1480	1662.000	-0.354	-0.460	0.000	-24.597	-21.374
1496	1662.000	-0.293	-0.139	0.000	-24.562	10.671
1512	1662.000	-0.298	-0.336	0.000	-24.563	-9.086
1528	1662.000	-0.393	-0.452	0.000	-24.564	-20.641
1544	1662.000	-0.310	-0.307	0.000	-24.767	-5.916
1560	1662.000	-0.327	-0.269	0.000	-24.842	-2.100
1576	1662.000	-0.332	-0.457	0.000	-25.250	-20.471
1592	1662.000	-0.333	-0.404	0.000	-24.780	-15.577
1608	1662.000	-0.299	-0.057	0.000	-24.570	18.919
1624	1662.000	-0.259	-0.138	0.000	-24.686	10.926
1640	1662.000	-0.315	-0.429	0.000	-25.106	-17.832
1656	1662.000	-0.321	-0.280	0.000	-24.655	-3.355
1672	1662.000	-0.260	-0.010	0.000	-24.774	23.821
1688	1662.000	-0.360	-0.358	0.000	-24.979	-10.862
1704	1662.000	-0.296	-0.234	0.000	-24.567	1.204
1720	1662.000	-0.293	-0.094	0.000	-24.981	15.623
1736	1662.000	-0.346	-0.400	0.000	-24.651	-15.395
1752	1662.000	-0.341	-0.058	0.000	-24.792	19.027
1768	1662.000	-0.365	-0.276	0.000	-24.816	-2.762
1784	1662.000	-0.336	-0.417	0.000	-24.563	-17.181
1800	1662.000	-0.362	-0.328	0.000	-25.184	-7.573
1816	1662.000	-0.345	-0.225	0.000	-25.630	3.129
1832	1662.000	-0.299	-0.010	0.000	-24.735	23.736
1848	1662.000	-0.272	-0.408	0.000	-25.528	-15.283
1864	1662.000	-0.306	-0.298	0.000	-25.089	-4.739
2504	1662.000	-0.416	-0.112	0.000	-33.522	22.371
