# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
13	126.000	-0.968	-0.630	0.000	-79.631	16.626
29	126.000	-0.963	-0.602	0.000	-78.808	18.592
45	126.000	-0.981	-1.036	0.000	-78.808	-24.747
61	126.000	-0.991	-0.728	0.000	-78.851	6.092
77	126.000	-0.959	-0.980	0.000	-81.228	-16.784
93	126.000	-1.026	-0.953	0.000	-78.828	-16.458
109	126.000	-0.832	-0.707	0.000	-80.597	9.879
125	126.000	-0.488	4.258	0.000	-79.160	4.959
141	126.000	-1.004	-0.823	0.000	-79.764	-2.487
157	126.000	-0.912	-0.689	0.000	-78.808	9.875
173	126.000	-0.925	-0.788	0.000	-78.869	0.084
189	126.000	-1.006	-0.876	0.000	-79.154	-8.428
205	126.000	-0.964	-0.763	0.000	-79.202	2.909
221	126.000	-0.995	-0.695	0.000	-79.726	10.244
237	126.000	-0.843	-0.742	0.000	-82.193	8.041
253	126.000	-0.994	-0.579	0.000	-80.364	22.471
269	126.000	-0.955	-0.880	0.000	-79.548	-8.451
285	126.000	-1.030	-1.029	0.000	-79.730	-23.192
301	126.000	-0.516	-0.551	0.000	-78.887	23.820
317	126.000	-0.969	-0.794	0.000	-80.774	1.350
333	126.000	-1.021	-0.594	0.000	-79.152	19.791
349	126.000	-1.023	-0.944	0.000	-79.749	-14.691
365	126.000	-1.021	-0.641	0.000	-80.808	16.741
381	126.000	-0.951	-0.726	0.000	-79.869	7.225
397	126.000	-0.983	-0.839	0.000	-78.808	-5.047
413	126.000	-0.995	-0.698	0.000	-78.808	9.004
429	126.000	-0.966	-0.941	0.000	-79.532	-14.587
445	126.000	-0.978	-1.015	0.000	-79.542	-21.993
461	126.000	-1.039	-0.685	0.000	-78.857	10.375
477	126.000	-0.955	-0.951	0.000	-78.824	-16.318
493	126.000	-0.982	-0.783	0.000	-79.537	1.251
509	126.000	-0.956	-0.622	0.000	-78.808	16.651
525	126.000	-0.956	-0.928	0.000	-80.737	-12.069
541	126.000	-0.787	-0.785	0.000	-78.808	0.318
557	126.000	-0.995	-0.927	0.000	-78.854	-13.891
573	126.000	-1.073	-0.815	0.000	-80.352	-1.191
589	126.000	-1.006	-0.595	0.000	-79.154	19.664
605	126.000	-0.984	-0.812	0.000	-78.842	-2.362
621	126.000	-0.962	-0.594	0.000	-78.834	19.442
637	126.000	-0.983	-0.839	0.000	-78.808	-5.072
653	126.000	-0.814	-0.832	0.000	-78.808	-4.350
669	126.000	-1.014	-1.038	0.000	-78.808	-24.977
685	126.000	-0.988	-1.010	0.000	-78.808	-22.208
701	126.000	-0.975	-0.963	0.000	-78.808	-17.462
717	126.000	-0.975	-0.662	0.000	-78.808	12.570
733	126.000	-0.938	-0.688	0.000	-78.808	10.034
749	126.000	-0.942	-0.828	0.000	-78.808	-3.949
765	126.000	-0.956	-0.590	0.000	-78.828	19.833
781	126.000	-0.921	-0.650	0.000	-78.808	13.817
797	126.000	-0.938	-0.814	0.000	-78.808	-2.638
813	126.000	-0.965	-0.880	0.000	-78.808	-9.200
829	126.000	-0.964	-0.548	0.000	-78.808	23.981
845	126.000	-0.970	-0.891	0.000	-78.808	-10.336
861	126.000	-1.054	-0.954	0.000	-78.808	-16.639
877	126.000	-1.012	-0.888	0.000	-78.808	-9.973
893	126.000	-0.657	-0.965	0.000	-78.808	-17.730
909	126.000	-0.955	-0.635	0.000	-78.808	15.328
925	126.000	-0.960	-0.769	0.000	-78.808	1.939
941	126.000	-1.005	-0.807	0.000	-78.808	-1.881
957	126.000	-1.020	-0.909	0.000	-78.808	-12.142
973	126.000	-1.016	-0.776	0.000	-78.808	1.222
989	126.000	-0.912	-0.540	0.000	-78.808	24.836
1005	126.000	-0.968	-0.814	0.000	-78.808	-2.554
1021	126.000	-0.989	-0.979	0.000	-78.808	-19.073
1037	126.000	-0.958	-0.642	0.000	-78.808	14.579
1053	126.000	-0.999	-0.789	0.000	-78.808	-0.099
1069	126.000	-0.967	-0.585	0.000	-78.808	20.294
1085	126.000	-0.970	-0.759	0.000	-78.808	2.863
1101	126.000	-1.031	-1.008	0.000	-78.808	-21.969
1117	126.000	-1.029	-1.036	0.000	-78.808	-24.825
1133	126.000	-0.952	-0.854	0.000	-78.808	-6.611
1149	126.000	-0.820	-1.006	0.000	-78.808	-21.829
1165	126.000	-0.907	-0.948	0.000	-78.808	-15.993
1181	126.000	-1.019	-0.838	0.000	-78.808	-4.975
1197	126.000	-0.945	-0.610	0.000	-78.808	17.818
1213	126.000	-0.952	-0.920	0.000	-78.808	-13.153
1229	126.000	-0.958	-0.849	0.000	-78.808	-6.100
1245	126.000	-1.016	-1.007	0.000	-78.808	-21.904
1261	126.000	-1.005	-0.798	0.000	-78.808	-1.022
1277	126.000	-0.978	-0.714	0.000	-78.808	7.398
1293	126.000	-0.962	-0.731	0.000	-78.808	5.741
1309	126.000	-0.894	-0.564	0.000	-78.808	22.412
1325	126.000	-1.006	-0.583	0.000	-78.808	20.472
1341	126.000	-0.961	-1.002	0.000	-78.808	-21.426
1357	126.000	-0.973	-0.656	0.000	-78.808	13.214
1373	126.000	-0.971	-0.918	0.000	-78.808	-13.011
1389	126.000	-0.979	-0.879	0.000	-78.808	-9.046
1405	126.000	-1.019	-0.971	0.000	-78.808	-18.330
1421	126.000	-0.979	-1.015	0.000	-78.808	-22.700
1437	126.000	-1.007	-1.028	0.000	-78.808	-23.949
1453	126.000	-1.033	-0.986	0.000	-78.808	-19.841
1469	126.000	-0.968	-0.872	0.000	-78.808	-8.402
1485	126.000	-0.946	-0.740	0.000	-78.808	4.796
1501	126.000	-1.008	-0.885	0.000	-78.808	-9.683
1517	126.000	-0.995	-0.800	0.000	-78.808	-1.155
1533	126.000	-0.891	-0.987	0.000	-78.808	-19.893
1549	126.000	-1.023	-0.887	0.000	-78.808	-9.901
1565	126.000	-0.971	-0.610	0.000	-78.808	17.838
1581	126.000	-0.894	-0.540	0.000	-78.808	24.808
1597	126.000	-0.992	-0.915	0.000	-78.808	-12.671
1613	126.000	-0.943	-0.593	0.000	-78.808	19.461
1629	126.000	-0.911	-0.685	0.000	-78.808	10.352
1645	126.000	-1.004	-0.852	0.000	-78.808	-6.401
1661	126.000	-0.547	-0.718	0.000	-78.808	6.968
1677	126.000	-1.026	-0.735	0.000	-78.808	5.292
1693	126.000	-0.989	-0.876	0.000	-78.808	-8.834
1709	126.000	-0.923	-0.624	0.000	-78.808	16.405
1725	126.000	-1.027	-0.860	0.000	-78.808	-7.147
1741	126.000	-0.667	-0.828	0.000	-78.808	-4.026
1757	126.000	-0.972	-0.703	0.000	-78.808	8.519
1773	126.000	-0.941	-0.770	0.000	-78.808	1.837
1789	126.000	-0.947	-0.615	0.000	-78.808	17.303
1805	126.000	-0.996	-1.020	0.000	-78.808	-23.224
1821	126.000	-0.996	-0.971	0.000	-78.808	-18.297
1837	126.000	-1.008	-0.880	0.000	-78.808	-9.226
1853	126.000	-0.957	-0.712	0.000	-78.808	7.640
1869	126.000	-1.014	-0.905	0.000	-78.808	-11.670
1885	126.000	-0.954	-0.972	0.000	-78.808	-18.398
1901	126.000	-0.996	-0.979	0.000	-78.808	-19.137
1917	126.000	-0.973	-0.790	0.000	-78.808	-0.164
1933	126.000	-0.637	-1.023	0.000	-78.808	-23.527
1949	126.000	-0.975	-0.725	0.000	-78.808	6.341
1965	126.000	-0.960	-0.811	0.000	-78.808	-2.342
1981	126.000	-0.990	-0.984	0.000	-78.808	-19.619
1997	126.000	-0.957	-0.688	0.000	-78.808	9.971
2013	126.000	-0.940	-0.559	0.000	-78.808	22.917
2029	126.000	-0.982	-0.717	0.000	-78.808	7.097
2045	126.000	-0.967	-0.603	0.000	-78.808	18.466
2061	126.000	-0.966	-0.590	0.000	-78.808	19.761
2077	126.000	-1.035	-0.857	0.000	-78.808	-6.907
2093	126.000	-0.965	-0.642	0.000	-78.808	14.624
2109	126.000	-0.964	-0.690	0.000	-78.808	9.802
2125	126.000	-0.990	-1.019	0.000	-78.808	-23.071
2141	126.000	-0.986	-0.762	0.000	-78.808	2.591
2157	126.000	-0.954	-0.594	0.000	-78.808	19.366
2173	126.000	-0.518	4.123	1.000	-78.808	-8.917
2189	126.000	-0.834	-0.568	0.000	-78.808	21.979
2205	126.000	-1.036	-0.958	0.000	-78.808	-16.999
2221	126.000	-1.046	-0.692	0.000	-78.808	9.560
2237	126.000	-1.005	-1.029	0.000	-78.808	-24.102
2253	126.000	-0.744	-0.847	0.000	-78.808	-5.899
2269	126.000	-0.971	-0.585	0.000	-78.808	20.355
2285	126.000	-0.990	-0.972	0.000	-78.808	-18.394
2301	126.000	-1.023	-0.627	0.000	-78.808	16.103
2317	126.000	-0.926	-0.636	0.000	-78.808	15.172
2333	126.000	-0.968	-0.705	0.000	-78.808	8.303
2349	126.000	-1.000	-0.706	0.000	-78.808	8.181
2365	126.000	-0.968	-0.924	0.000	-78.808	-13.547
2381	126.000	-0.986	-0.950	0.000	-78.808	-16.234
2397	126.000	-0.932	-0.833	0.000	-78.808	-4.471
2413	126.000	-0.593	-0.609	0.000	-78.808	17.873
2429	126.000	-0.998	-0.835	0.000	-78.808	-4.739
2445	126.000	-0.944	-0.714	0.000	-78.808	7.374
2461	126.000	-0.957	-0.654	0.000	-78.808	13.358
2477	126.000	-0.992	-0.909	0.000	-78.808	-12.092
2493	126.000	-0.930	-0.573	0.000	-78.808	21.474
2509	126.000	-0.974	-0.905	0.000	-78.808	-11.711
2525	126.000	-1.015	-0.992	0.000	-78.808	-20.370
2541	126.000	-0.995	-0.618	0.000	-78.808	17.032
2557	126.000	-0.995	-1.003	0.000	-78.808	-21.518
2573	126.000	-0.980	-0.900	0.000	-78.808	-11.168
2589	126.000	-1.005	-0.850	0.000	-78.808	-6.227
2605	126.000	-0.979	-0.754	0.000	-78.808	3.394
2621	126.000	-0.996	-0.754	0.000	-78.808	3.403
2637	126.000	-0.949	-0.686	0.000	-78.808	10.172
2653	126.000	-0.973	-0.562	0.000	-78.808	22.581
2669	126.000	-0.969	-0.765	0.000	-78.808	2.289
2685	126.000	-1.045	-0.843	0.000	-78.808	-5.506
2701	126.000	-0.960	-0.669	0.000	-78.808	11.877
2717	126.000	-1.023	-0.751	0.000	-78.808	3.753
2733	126.000	-1.000	-0.827	0.000	-78.808	-3.916
2749	126.000	-0.978	-0.585	0.000	-78.808	20.269
2765	126.000	-0.966	-0.565	0.000	-78.808	22.349
2781	126.000	-0.989	-0.746	0.000	-78.808	4.212
2797	126.000	-0.982	-0.670	0.000	-78.808	11.759
2813	126.000	-0.967	-0.847	0.000	-78.808	-5.860
2829	126.000	-0.990	-1.017	0.000	-78.808	-22.856
2845	126.000	-0.946	-0.697	0.000	-78.808	9.125
2861	126.000	-0.599	-0.587	0.000	-78.808	20.092
2877	126.000	-0.984	-0.932	0.000	-78.808	-14.402
2893	126.000	-0.918	-0.577	0.000	-78.808	21.120
2909	126.000	-1.038	-1.031	0.000	-78.808	-24.302
2925	126.000	-0.961	-0.580	0.000	-78.808	20.814
2941	126.000	-0.980	-1.014	0.000	-78.808	-22.556
2957	126.000	-0.915	-0.597	0.000	-78.808	19.127
2973	126.000	-0.965	-0.802	0.000	-78.808	-1.438
2989	126.000	-0.960	-0.615	0.000	-78.808	17.301
3005	126.000	-0.882	-0.946	0.000	-78.808	-15.829
3021	126.000	-0.904	-0.667	0.000	-78.808	12.143
3037	126.000	-0.941	-0.582	0.000	-78.808	20.605
3053	126.000	-0.938	-0.679	0.000	-78.808	10.861
3069	126.000	-0.978	-0.864	0.000	-78.808	-7.639
3085	126.000	-0.924	-0.540	0.000	-78.808	24.843
3101	126.000	-0.972	-0.697	0.000	-78.808	9.076
3117	126.000	-1.029	-0.875	0.000	-78.808	-8.711
3133	126.000	-0.999	-1.004	0.000	-78.808	-21.624
3149	126.000	-1.021	-0.978	0.000	-78.808	-19.017
3165	126.000	-0.784	-0.657	0.000	-78.808	13.082
3181	126.000	-0.980	-0.950	0.000	-78.808	-16.168
