# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
6673	997.983
7633	997.975
14161	997.974
6673	998.467
7633	998.459
14161	998.458
6673	998.951
7633	998.943
14161	998.942
6673	999.435
7633	999.427
14161	999.426
6673	999.919
7633	999.912
14161	999.911
6673	1000.404
7633	1000.397
12705	1000.481
14161	1000.396
1857	1000.982
6673	1000.889
7633	1000.882
14161	1000.881
3937	1001.483
6673	1001.375
7633	1001.368
12705	1001.465
14161	1001.367
1857	1001.966
6673	1001.860
7633	1001.853
14161	1001.852
6673	1002.346
7633	1002.339
12705	1002.449
14161	1002.338
1857	1002.950
3937	1002.968
4289	1002.983
7633	1002.825
12865	1002.983
6673	1003.837
10049	1004.483
