# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
15	997.000	-0.609	-0.429	0.000	-55.501	12.611
31	997.000	-0.678	-0.360	0.000	-55.367	19.324
47	997.000	-0.685	-0.590	0.000	-55.347	-3.637
63	997.000	-0.694	-0.523	0.000	-55.349	3.010
79	997.000	-0.456	-0.794	0.000	-55.636	-23.745
95	997.000	-0.713	-0.575	0.000	-55.970	-1.553
111	997.000	-0.673	-0.591	0.000	-55.604	-3.447
127	997.000	-0.689	-0.354	0.000	-55.349	19.998
143	997.000	-0.719	-0.401	0.000	-56.717	16.628
159	997.000	-0.691	-0.603	0.000	-56.041	-4.264
175	997.000	-0.698	-0.407	0.000	-55.931	15.221
191	997.000	-0.603	-0.595	0.000	-56.045	-3.468
207	997.000	-0.628	-0.543	0.000	-55.347	1.086
223	997.000	-0.729	-0.753	0.000	-55.641	-19.697
239	997.000	-0.712	-0.419	0.000	-55.593	13.663
255	997.000	-0.669	-0.784	0.000	-55.347	-23.059
271	997.000	-0.686	-0.514	0.000	-55.352	3.987
287	997.000	-0.692	-0.758	0.000	-56.014	-19.813
303	997.000	-0.667	-0.421	0.000	-56.179	14.048
319	997.000	-0.644	-0.725	0.000	-55.360	-17.110
335	997.000	-0.687	-0.798	0.000	-55.366	-24.396
351	997.000	-0.537	-0.683	0.000	-56.886	-11.374
367	997.000	-0.655	-0.311	0.000	-55.347	24.245
383	997.000	-0.734	-0.326	0.000	-55.349	22.703
399	997.000	-0.676	-0.692	0.000	-55.683	-13.550
415	997.000	-0.175	4.358	1.000	-55.353	-8.878
431	997.000	-0.656	-0.430	0.000	-55.960	12.966
447	997.000	-0.646	-0.704	0.000	-55.347	-15.085
463	997.000	-0.690	-0.409	0.000	-55.353	14.446
479	997.000	-0.685	-0.791	0.000	-57.126	-21.956
495	997.000	-0.733	-0.553	0.000	-56.406	1.102
511	997.000	-0.717	-0.727	0.000	-55.349	-17.309
527	997.000	-0.449	-0.525	0.000	-60.204	7.674
543	997.000	-0.692	-0.706	0.000	-55.647	-14.960
559	997.000	-0.653	-0.370	0.000	-55.347	18.393
575	997.000	-0.654	-0.331	0.000	-56.627	23.521
591	997.000	-0.703	-0.473	0.000	-55.380	8.093
607	997.000	-0.752	-0.787	0.000	-55.656	-23.079
623	997.000	-0.534	-0.595	0.000	-55.357	-4.179
1263	997.000	-0.460	-0.386	0.000	-34.933	-3.635
1279	997.000	-0.434	-0.203	0.000	-35.151	14.821
1295	997.000	-0.488	-0.327	0.000	-34.810	2.113
