# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
16	947.000	-0.997	-0.597	0.000	-78.415	18.681
32	947.000	-1.044	-0.990	0.000	-79.699	-19.271
48	947.000	-0.984	-0.955	0.000	-76.632	-18.897
64	947.000	-0.886	-0.991	0.000	-76.536	-22.603
80	947.000	-0.943	-0.956	0.000	-76.119	-19.453
96	947.000	-1.044	-0.922	0.000	-76.627	-15.555
112	947.000	-0.697	-0.631	0.000	-75.793	12.685
128	947.000	-0.984	-0.550	0.000	-76.516	21.486
144	947.000	-0.979	-0.661	0.000	-75.809	9.689
160	947.000	-0.955	-0.980	0.000	-75.796	-22.160
176	947.000	-0.913	-0.695	0.000	-75.799	6.261
192	947.000	-0.911	-0.705	0.000	-75.818	5.297
208	947.000	-0.983	-0.911	0.000	-75.793	-15.314
224	947.000	-0.788	-0.888	0.000	-75.800	-12.982
240	947.000	-0.923	-0.915	0.000	-75.793	-15.727
256	947.000	-1.014	-0.898	0.000	-75.793	-13.962
272	947.000	-0.968	-0.712	0.000	-76.138	4.918
288	947.000	-0.556	-0.782	0.000	-75.793	-2.403
304	947.000	-0.984	-0.986	0.000	-75.793	-22.783
320	947.000	-1.026	-0.817	0.000	-78.296	-3.429
336	947.000	-1.037	-0.809	0.000	-78.006	-2.936
352	947.000	-0.993	-0.976	0.000	-75.805	-21.773
368	947.000	-0.953	-0.920	0.000	-76.137	-15.882
384	947.000	-0.998	-0.851	0.000	-76.629	-8.473
400	947.000	-0.945	-0.848	0.000	-76.094	-8.657
416	947.000	-0.951	-0.946	0.000	-75.816	-18.802
432	947.000	-1.043	-1.012	0.000	-77.569	-23.606
448	947.000	-0.901	-0.755	0.000	-75.800	0.257
464	947.000	-0.991	-0.875	0.000	-76.527	-10.982
480	947.000	-1.022	-1.006	0.000	-76.841	-23.788
496	947.000	-0.965	-0.734	0.000	-76.748	3.386
512	947.000	-0.473	4.342	1.000	-75.793	9.984
528	947.000	-0.946	-0.609	0.000	-75.793	14.861
544	947.000	-0.882	-0.554	0.000	-77.571	22.218
560	947.000	-0.902	-0.661	0.000	-75.817	9.759
576	947.000	-1.003	-1.028	0.000	-78.245	-24.530
592	947.000	-1.051	-1.036	0.000	-79.740	-23.904
608	947.000	-1.034	-0.559	0.000	-77.784	21.929
624	947.000	-0.931	-0.844	0.000	-77.902	-6.534
1264	947.000	-0.200	-0.151	0.000	-13.644	-1.436
1280	947.000	-0.126	0.075	0.000	-13.620	21.086
1296	947.000	-0.155	-0.323	0.000	-13.437	-18.893
1312	947.000	-0.148	-0.140	0.000	-13.757	-0.200
1328	947.000	-0.168	-0.013	0.000	-13.528	12.205
1344	947.000	-0.142	0.108	0.000	-13.434	24.230
1360	947.000	-0.162	-0.046	0.000	-13.670	9.023
1376	947.000	-0.115	0.105	0.000	-13.427	23.898
1392	947.000	-0.211	-0.292	0.000	-13.426	-15.781
1408	947.000	-0.152	-0.071	0.000	-13.866	6.777
1424	947.000	-0.203	-0.349	0.000	-13.430	-21.473
1440	947.000	-0.170	-0.175	0.000	-13.433	-4.031
1456	947.000	-0.206	-0.214	0.000	-13.518	-7.904
1472	947.000	-0.201	-0.126	0.000	-13.426	0.839
1488	947.000	-0.154	0.100	0.000	-13.432	23.409
1504	947.000	-0.166	-0.296	0.000	-13.863	-15.751
1520	947.000	-0.157	-0.205	0.000	-13.427	-7.103
1536	947.000	-0.180	-0.359	0.000	-13.430	-22.504
1552	947.000	-0.121	-0.113	0.000	-13.635	2.302
1568	947.000	-0.171	0.049	0.000	-13.429	18.318
1584	947.000	-0.082	0.013	0.000	-13.429	14.765
1600	947.000	-0.155	-0.196	0.000	-13.428	-6.141
