# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
3	1662.000	-0.995	-0.755	0.000	-78.555	3.033
19	1662.000	-0.998	-1.024	0.000	-80.519	-21.912
35	1662.000	-0.808	-0.908	0.000	-80.326	-10.488
51	1662.000	-1.008	-0.727	0.000	-78.555	5.874
67	1662.000	-1.032	-0.914	0.000	-80.041	-11.405
83	1662.000	-0.938	-0.584	0.000	-81.775	23.375
99	1662.000	-1.001	-0.977	0.000	-78.555	-19.146
115	1662.000	-0.971	-0.780	0.000	-78.616	0.584
131	1662.000	-1.014	-0.755	0.000	-80.149	4.643
147	1662.000	-0.985	-0.922	0.000	-79.322	-12.840
163	1662.000	-1.074	-1.011	0.000	-78.646	-22.468
179	1662.000	-0.942	-0.543	0.000	-78.555	24.226
195	1662.000	-1.061	-0.674	0.000	-82.322	14.897
211	1662.000	-0.564	-0.994	0.000	-78.555	-20.812
227	1662.000	-0.936	-0.987	0.000	-78.555	-20.114
243	1662.000	-1.045	-0.869	0.000	-82.246	-4.628
259	1662.000	-1.028	-0.920	0.000	-78.555	-13.410
275	1662.000	-0.956	-0.973	0.000	-78.570	-18.770
291	1662.000	-1.033	-0.961	0.000	-78.591	-17.506
307	1662.000	-0.981	-0.627	0.000	-78.555	15.870
323	1662.000	-0.966	-0.875	0.000	-78.555	-8.898
339	1662.000	-1.017	-1.035	0.000	-78.555	-24.961
355	1662.000	-0.971	-0.651	0.000	-80.465	15.412
371	1662.000	-1.004	-0.971	0.000	-79.545	-17.568
387	1662.000	-1.022	-0.980	0.000	-80.436	-17.536
403	1662.000	-0.955	-0.780	0.000	-83.172	5.202
419	1662.000	-0.869	-0.600	0.000	-80.317	20.282
435	1662.000	-0.974	-0.565	0.000	-79.558	23.096
451	1662.000	-0.959	-0.684	0.000	-79.825	11.406
467	1662.000	-1.033	-0.587	0.000	-80.684	21.965
483	1662.000	-0.959	-0.565	0.000	-78.555	22.072
499	1662.000	-0.966	-0.725	0.000	-78.575	6.054
515	1662.000	-0.947	-0.654	0.000	-78.608	13.254
531	1662.000	-0.520	4.199	1.000	-78.555	-1.566
547	1662.000	-0.941	-0.722	0.000	-78.573	6.397
563	1662.000	-0.973	-0.612	0.000	-78.871	17.639
579	1662.000	-0.975	-0.786	0.000	-78.572	0.002
595	1662.000	-1.005	-0.867	0.000	-78.902	-7.788
611	1662.000	-0.973	-0.570	0.000	-80.835	23.845
1267	1662.000	-0.315	-0.252	0.000	-25.313	0.151
1283	1662.000	-0.330	-0.200	0.000	-24.837	4.869
1299	1662.000	-0.296	-0.213	0.000	-25.031	3.706
1315	1662.000	-0.322	-0.319	0.000	-24.747	-7.139
1331	1662.000	-0.275	-0.007	0.000	-24.674	23.929
