# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
120101	126.981
120565	126.981
220341	126.981
220389	126.981
220549	126.981
120101	127.465
120565	127.465
220341	127.465
220389	127.465
220549	127.465
120101	127.949
120565	127.949
220341	127.949
220389	127.949
220549	127.949
120101	128.433
120565	128.434
220341	128.433
220389	128.433
220549	128.434
120101	128.918
120565	128.918
220341	128.918
220389	128.918
220549	128.918
120101	129.402
120565	129.403
220341	129.403
220389	129.403
220549	129.403
20933	129.978
120101	129.888
120565	129.888
220341	129.888
220389	129.888
220549	129.888
120101	130.373
120565	130.373
140789	130.483
189589	130.483
209845	130.483
220341	130.373
220389	130.373
220549	130.373
20997	130.983
120101	130.858
120565	130.859
180933	130.983
220341	130.859
220549	130.859
21109	131.483
120101	131.344
220341	131.344
20933	131.963
120101	131.830
120565	131.847
140853	131.983
160101	131.983
160357	131.983
40661	132.483
120101	133.322
