# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
7	1662.000	-1.087	-0.966	0.000	-81.034	-15.522
23	1662.000	-0.993	-0.888	0.000	-78.577	-10.263
39	1662.000	-1.016	-1.029	0.000	-81.260	-21.601
55	1662.000	-1.005	-0.684	0.000	-80.640	12.275
71	1662.000	-0.988	-0.895	0.000	-78.555	-10.934
87	1662.000	-0.994	-0.541	0.000	-78.661	24.513
103	1662.000	-1.018	-0.859	0.000	-79.322	-6.624
119	1662.000	-1.009	-1.005	0.000	-79.405	-21.110
135	1662.000	-0.987	-0.752	0.000	-79.397	4.170
151	1662.000	-1.005	-0.690	0.000	-79.538	10.564
167	1662.000	-0.998	-0.805	0.000	-80.543	0.017
183	1662.000	-1.002	-0.926	0.000	-78.614	-13.947
199	1662.000	-1.004	-0.764	0.000	-80.623	4.200
215	1662.000	-0.966	-0.916	0.000	-78.596	-12.956
231	1662.000	-0.989	-0.822	0.000	-78.563	-3.594
247	1662.000	-0.968	-0.867	0.000	-78.555	-8.095
263	1662.000	-0.982	-0.898	0.000	-78.555	-11.237
279	1662.000	-0.961	-0.692	0.000	-78.555	9.404
295	1662.000	-0.987	-0.791	0.000	-78.555	-0.588
311	1662.000	-1.041	-0.878	0.000	-78.573	-9.268
327	1662.000	-1.014	-0.871	0.000	-78.996	-8.059
343	1662.000	-0.663	-0.772	0.000	-78.591	1.369
359	1662.000	-0.605	-1.045	0.000	-80.248	-24.273
375	1662.000	-1.009	-0.540	0.000	-78.602	24.606
391	1662.000	-1.001	-0.776	0.000	-80.188	2.540
407	1662.000	-0.969	-0.673	0.000	-78.555	11.269
423	1662.000	-0.964	-0.831	0.000	-79.564	-3.519
439	1662.000	-1.069	-0.826	0.000	-80.898	-1.702
455	1662.000	-1.009	-1.018	0.000	-79.825	-21.961
471	1662.000	-1.060	-0.699	0.000	-79.597	9.663
487	1662.000	-0.951	-0.871	0.000	-78.577	-8.511
503	1662.000	-1.000	-0.663	0.000	-79.598	13.291
519	1662.000	-0.955	-0.886	0.000	-78.573	-10.048
535	1662.000	-0.863	-0.964	0.000	-79.453	-16.967
551	1662.000	-0.976	-0.970	0.000	-78.619	-18.419
567	1662.000	-0.942	-1.011	0.000	-78.871	-22.247
583	1662.000	-0.985	-0.672	0.000	-80.858	13.668
599	1662.000	-0.995	-0.805	0.000	-78.638	-1.814
615	1662.000	-1.102	-1.050	0.000	-81.817	-23.192
1255	1662.000	-0.278	-0.104	0.000	-24.744	14.378
1271	1662.000	-0.267	-0.016	0.000	-24.831	23.191
1287	1662.000	-0.304	-0.370	0.000	-24.976	-12.008
1303	1662.000	-0.358	-0.428	0.000	-24.684	-18.126
1319	1662.000	-0.383	-0.345	0.000	-25.046	-9.448
1335	1662.000	-0.353	-0.051	0.000	-24.717	19.661
1351	1662.000	-0.285	-0.018	0.000	-24.814	23.041
1367	1662.000	-0.324	-0.187	0.000	-24.563	5.866
1383	1662.000	-0.318	-0.059	0.000	-24.568	18.635
1399	1662.000	-0.405	-0.354	0.000	-25.112	-10.259
1415	1662.000	-0.265	-0.082	0.000	-25.089	16.933
1431	1662.000	-0.315	-0.402	0.000	-24.655	-15.590
1447	1662.000	-0.372	-0.459	0.000	-24.830	-21.045
1463	1662.000	-0.342	-0.359	0.000	-24.933	-11.009
1479	1662.000	-0.316	-0.453	0.000	-24.638	-20.704
1495	1662.000	-0.367	-0.443	0.000	-24.561	-19.706
1511	1662.000	-0.293	-0.021	0.000	-24.566	22.425
1527	1662.000	-0.330	-0.279	0.000	-24.813	-3.055
1543	1662.000	-0.339	-0.325	0.000	-24.718	-7.793
1559	1662.000	-0.333	-0.482	0.000	-24.568	-23.629
1575	1662.000	-0.336	-0.445	0.000	-25.317	-19.176
1591	1662.000	-0.336	-0.434	0.000	-24.770	-18.621
1607	1662.000	-0.284	-0.175	0.000	-24.569	7.061
1623	1662.000	-0.289	-0.292	0.000	-24.664	-4.537
1639	1662.000	-0.344	-0.405	0.000	-25.468	-15.020
1655	1662.000	-0.285	-0.167	0.000	-24.569	7.867
1671	1662.000	-0.231	-0.308	0.000	-24.769	-6.044
1687	1662.000	-0.264	-0.061	0.000	-24.706	18.585
1703	1662.000	-0.250	-0.180	0.000	-24.651	6.619
1719	1662.000	-0.326	-0.436	0.000	-24.975	-18.581
1735	1662.000	-0.338	-0.340	0.000	-24.714	-9.294
1751	1662.000	-0.348	-0.311	0.000	-24.854	-6.227
1767	1662.000	-0.354	-0.392	0.000	-24.932	-14.233
1783	1662.000	-0.269	-0.205	0.000	-24.561	4.033
1799	1662.000	-0.291	-0.261	0.000	-25.326	-0.796
1815	1662.000	-0.306	-0.329	0.000	-25.555	-7.323
1831	1662.000	-0.312	-0.209	0.000	-24.566	3.710
1847	1662.000	-0.307	-0.176	0.000	-25.072	7.506
1863	1662.000	-0.252	-0.151	0.000	-24.907	9.855
2519	1662.000	-0.419	-0.440	0.000	-33.711	-10.299
2535	1662.000	-0.413	-0.546	0.000	-33.238	-21.392
2551	1662.000	-0.483	-0.364	0.000	-34.180	-2.198
2567	1662.000	-0.461	-0.407	0.000	-33.567	-7.151
2583	1662.000	-0.415	-0.196	0.000	-32.893	13.302
2599	1662.000	-0.383	-0.337	0.000	-33.194	-0.468
2615	1662.000	-0.386	-0.190	0.000	-33.451	14.426
2631	1662.000	-0.423	-0.453	0.000	-33.518	-11.814
2647	1662.000	-0.468	-0.384	0.000	-33.149	-5.260
2663	1662.000	-0.400	-0.344	0.000	-33.417	-1.014
2679	1662.000	-0.395	-0.096	0.000	-33.064	23.450
