# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
2	1662.000	-0.978	-0.762	0.000	-78.555	2.401
18	1662.000	-0.998	-0.870	0.000	-81.072	-5.969
34	1662.000	-1.055	-0.792	0.000	-81.732	2.486
50	1662.000	-0.965	-0.771	0.000	-78.555	1.485
66	1662.000	-0.975	-0.576	0.000	-80.502	22.859
82	1662.000	-1.031	-0.578	0.000	-82.060	24.297
98	1662.000	-0.957	-0.606	0.000	-78.555	17.931
114	1662.000	-1.017	-0.783	0.000	-78.668	0.418
130	1662.000	-0.938	-0.570	0.000	-79.574	22.584
146	1662.000	-0.631	-0.978	0.000	-79.219	-18.536
162	1662.000	-0.983	-0.839	0.000	-78.625	-5.309
178	1662.000	-0.702	-0.878	0.000	-78.555	-9.286
194	1662.000	-1.115	-0.782	0.000	-84.022	5.851
210	1662.000	-0.952	-0.577	0.000	-78.572	20.907
226	1662.000	-0.747	-0.654	0.000	-78.555	13.136
242	1662.000	-1.038	-0.959	0.000	-80.949	-14.965
258	1662.000	-1.026	-0.921	0.000	-78.555	-13.516
274	1662.000	-0.941	-0.747	0.000	-78.562	3.905
290	1662.000	-1.052	-0.643	0.000	-78.572	14.315
306	1662.000	-0.952	-0.932	0.000	-78.555	-14.640
322	1662.000	-0.940	-0.748	0.000	-78.555	3.713
338	1662.000	-1.009	-0.696	0.000	-78.555	8.914
354	1662.000	-0.986	-0.827	0.000	-81.227	-1.521
370	1662.000	-1.017	-1.012	0.000	-79.328	-21.840
386	1662.000	-1.019	-0.923	0.000	-80.701	-11.569
402	1662.000	-1.024	-0.976	0.000	-81.659	-15.905
418	1662.000	-1.019	-0.702	0.000	-80.180	9.932
434	1662.000	-1.007	-0.637	0.000	-79.338	15.687
450	1662.000	-0.988	-1.025	0.000	-78.555	-23.961
466	1662.000	-1.032	-0.568	0.000	-80.643	23.814
482	1662.000	-0.971	-0.805	0.000	-78.555	-1.902
498	1662.000	-0.999	-0.947	0.000	-78.596	-16.074
514	1662.000	-0.657	-0.582	0.000	-78.601	20.352
530	1662.000	-1.036	-0.999	0.000	-78.577	-21.339
546	1662.000	-1.017	-0.802	0.000	-78.564	-1.629
562	1662.000	-1.012	-0.932	0.000	-79.228	-14.007
578	1662.000	-0.561	-0.541	0.000	-78.577	24.454
594	1662.000	-0.750	-1.011	0.000	-79.284	-21.767
610	1662.000	-1.057	-0.632	0.000	-82.596	19.355
1266	1662.000	-0.345	-0.273	0.000	-25.230	-2.092
1282	1662.000	-0.313	-0.436	0.000	-24.866	-18.735
1298	1662.000	-0.308	-0.363	0.000	-24.884	-11.374
1314	1662.000	-0.255	-0.008	0.000	-24.802	24.025
1330	1662.000	-0.321	-0.440	0.000	-24.650	-19.386
1346	1662.000	-0.326	-0.007	0.000	-25.132	24.451
1362	1662.000	-0.295	-0.144	0.000	-25.295	10.883
1378	1662.000	-0.338	-0.450	0.000	-24.664	-20.350
1394	1662.000	-0.306	-0.317	0.000	-24.715	-6.943
1410	1662.000	-0.279	-0.044	0.000	-24.606	20.170
1426	1662.000	-0.345	-0.310	0.000	-24.718	-6.311
1442	1662.000	-0.293	-0.172	0.000	-24.660	7.490
1458	1662.000	-0.290	-0.312	0.000	-24.886	-6.320
1474	1662.000	-0.305	-0.079	0.000	-24.781	16.882
1490	1662.000	-0.312	-0.452	0.000	-24.743	-20.445
1506	1662.000	-0.310	-0.323	0.000	-24.606	-7.739
1522	1662.000	-0.341	-0.470	0.000	-24.606	-22.400
1538	1662.000	-0.278	-0.487	0.000	-24.649	-24.024
1554	1662.000	-0.280	-0.394	0.000	-24.646	-14.790
1570	1662.000	-0.331	-0.245	0.000	-24.840	0.311
1586	1662.000	-0.301	-0.439	0.000	-25.636	-18.250
1602	1662.000	-0.348	-0.343	0.000	-25.129	-9.168
1618	1662.000	-0.344	-0.123	0.000	-24.823	12.569
1634	1662.000	-0.332	-0.391	0.000	-24.736	-14.324
1650	1662.000	-0.251	-0.277	0.000	-24.918	-2.781
1666	1662.000	-0.294	-0.034	0.000	-25.226	21.843
1682	1662.000	-0.315	-0.112	0.000	-24.796	13.622
1698	1662.000	-0.294	-0.064	0.000	-24.749	18.388
1714	1662.000	-0.316	-0.322	0.000	-25.323	-6.886
1730	1662.000	-0.290	-0.473	0.000	-24.565	-22.757
1746	1662.000	-0.294	-0.162	0.000	-24.755	8.574
1762	1662.000	-0.296	-0.094	0.000	-24.688	15.256
1778	1662.000	-0.286	-0.118	0.000	-24.606	12.759
1794	1662.000	-0.293	-0.351	0.000	-24.674	-10.378
1810	1662.000	-0.278	-0.028	0.000	-24.736	21.974
1826	1662.000	-0.320	-0.153	0.000	-24.993	9.683
1842	1662.000	-0.306	-0.039	0.000	-25.737	21.854
1858	1662.000	-0.312	-0.002	0.000	-25.061	24.905
1874	1662.000	-0.339	-0.056	0.000	-25.532	19.941
2514	1662.000	-0.387	-0.237	0.000	-33.318	9.592
2530	1662.000	-0.392	-0.477	0.000	-33.076	-14.623
2546	1662.000	-0.457	-0.478	0.000	-33.638	-14.199
2562	1662.000	-0.411	-0.248	0.000	-33.118	8.290
2578	1662.000	-0.448	-0.321	0.000	-33.822	1.739
2594	1662.000	-0.374	-0.163	0.000	-33.443	17.184
2610	1662.000	-0.420	-0.324	0.000	-32.893	0.519
2626	1662.000	-0.365	-0.224	0.000	-33.246	10.810
2642	1662.000	-0.416	-0.377	0.000	-33.749	-3.903
2658	1662.000	-0.436	-0.563	0.000	-33.118	-23.222
2674	1662.000	-0.431	-0.579	0.000	-32.942	-24.920
2690	1662.000	-0.449	-0.237	0.000	-33.787	10.128
2706	1662.000	-0.394	-0.096	0.000	-33.174	23.615
2722	1662.000	-0.420	-0.336	0.000	-33.826	0.258
2738	1662.000	-0.463	-0.522	0.000	-33.484	-18.669
2754	1662.000	-0.413	-0.282	0.000	-32.889	4.654
2770	1662.000	-0.451	-0.101	0.000	-33.460	23.386
2786	1662.000	-0.384	-0.407	0.000	-33.073	-7.669
2802	1662.000	-0.416	-0.379	0.000	-33.010	-4.877
2818	1662.000	-0.372	-0.284	0.000	-33.086	4.733
2834	1662.000	-0.378	-0.231	0.000	-33.108	10.044
2850	1662.000	-0.393	-0.207	0.000	-33.009	12.286
2866	1662.000	-0.386	-0.535	0.000	-33.263	-20.260
2882	1662.000	-0.457	-0.331	0.000	-33.589	0.485
2898	1662.000	-0.406	-0.213	0.000	-32.992	11.697
2914	1662.000	-0.436	-0.404	0.000	-33.832	-6.551
2930	1662.000	-0.420	-0.549	0.000	-33.132	-21.757
2946	1662.000	-0.408	-0.376	0.000	-32.938	-4.643
2962	1662.000	-0.428	-0.228	0.000	-34.016	11.203
2978	1662.000	-0.395	-0.113	0.000	-33.160	21.829
2994	1662.000	-0.386	-0.209	0.000	-33.295	12.438
3010	1662.000	-0.450	-0.448	0.000	-33.990	-10.780
3026	1662.000	-0.430	-0.351	0.000	-32.990	-2.096
3042	1662.000	-0.455	-0.551	0.000	-33.098	-21.955
3058	1662.000	-0.381	-0.265	0.000	-33.239	6.704
3074	1662.000	-0.393	-0.290	0.000	-33.060	4.045
3090	1662.000	-0.429	-0.321	0.000	-33.608	1.548
3106	1662.000	-0.408	-0.546	0.000	-33.823	-20.759
3122	1662.000	-0.393	-0.211	0.000	-33.839	12.788
3762	1662.000	-0.396	-0.147	0.000	-32.790	18.103
3778	1662.000	-0.424	-0.572	0.000	-32.793	-24.455
3794	1662.000	-0.438	-0.552	0.000	-33.065	-22.096
3810	1662.000	-0.402	-0.134	0.000	-32.783	19.388
3826	1662.000	-0.375	-0.186	0.000	-33.074	14.439
3842	1662.000	-0.390	-0.240	0.000	-33.067	9.032
3858	1662.000	-0.507	-0.565	0.000	-32.814	-23.701
3874	1662.000	-0.378	-0.256	0.000	-32.668	7.060
3890	1662.000	-0.362	-0.167	0.000	-33.369	16.677
3906	1662.000	-0.381	-0.150	0.000	-33.005	17.987
3922	1662.000	-0.407	-0.351	0.000	-32.794	-2.268
3938	1662.000	-0.437	-0.154	0.000	-33.201	17.796
3954	1662.000	-0.400	-0.449	0.000	-32.920	-12.005
3970	1662.000	-0.403	-0.130	0.000	-33.440	20.432
3986	1662.000	-0.441	-0.533	0.000	-33.109	-20.215
4002	1662.000	-0.410	-0.186	0.000	-32.896	14.304
4018	1662.000	-0.447	-0.523	0.000	-33.128	-19.217
4034	1662.000	-0.392	-0.102	0.000	-32.814	22.607
4050	1662.000	-0.448	-0.305	0.000	-32.859	2.383
