# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
6816	1662.979
16	1663.483
384	1663.483
6336	1663.483
6416	1663.483
6816	1663.463
13808	1663.483
14096	1663.483
14320	1663.483
16	1663.967
384	1663.967
6336	1663.967
6416	1663.967
6816	1663.947
13808	1663.967
14096	1663.967
14320	1663.967
16	1664.451
384	1664.451
6336	1664.451
6416	1664.451
6816	1664.432
13808	1664.451
14096	1664.451
14320	1664.451
16	1664.936
384	1664.936
6336	1664.936
6416	1664.936
6816	1664.916
13808	1664.936
14096	1664.936
14320	1664.936
16	1665.420
384	1665.420
6336	1665.420
6416	1665.420
6816	1665.401
13808	1665.420
14096	1665.420
14320	1665.420
16	1665.905
384	1665.905
6336	1665.905
6416	1665.905
6816	1665.886
8976	1665.983
13808	1665.905
14096	1665.905
14320	1665.905
