# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
1667	126.000	-0.954	-0.584	0.000	-78.808	20.433
1683	126.000	-1.022	-0.960	0.000	-78.808	-17.240
1699	126.000	-1.043	-0.926	0.000	-78.808	-13.794
1715	126.000	-0.954	-0.843	0.000	-78.808	-5.479
1731	126.000	-1.000	-0.906	0.000	-78.808	-11.758
1747	126.000	-0.984	-0.722	0.000	-78.808	6.622
1763	126.000	-0.955	-0.659	0.000	-78.808	12.945
1779	126.000	-1.014	-0.917	0.000	-78.808	-12.861
1795	126.000	-0.957	-0.584	0.000	-78.808	20.407
1811	126.000	-0.985	-1.026	0.000	-78.808	-23.841
1827	126.000	-0.750	-0.965	0.000	-78.808	-17.718
1843	126.000	-0.939	-0.653	0.000	-78.808	13.469
1859	126.000	-1.002	-0.885	0.000	-78.808	-9.690
1875	126.000	-0.960	-0.779	0.000	-78.808	0.957
1891	126.000	-0.951	-0.861	0.000	-78.808	-7.287
1907	126.000	-1.016	-0.641	0.000	-78.808	14.710
1923	126.000	-0.999	-0.673	0.000	-78.808	11.556
1939	126.000	-1.008	-0.830	0.000	-78.808	-4.158
1955	126.000	-1.011	-0.814	0.000	-78.808	-2.641
1971	126.000	-0.926	-0.612	0.000	-78.808	17.584
1987	126.000	-0.839	-0.955	0.000	-78.808	-16.701
2003	126.000	-0.782	-0.695	0.000	-78.808	9.291
2019	126.000	-0.960	-0.575	0.000	-78.808	21.351
2035	126.000	-1.015	-0.915	0.000	-78.808	-12.643
2051	126.000	-0.996	-0.721	0.000	-78.808	6.660
2067	126.000	-0.539	-0.569	0.000	-78.808	21.897
2083	126.000	-1.033	-0.798	0.000	-78.808	-0.981
2099	126.000	-1.000	-0.862	0.000	-78.808	-7.418
2115	126.000	-0.955	-0.669	0.000	-78.808	11.934
2131	126.000	-0.697	-0.882	0.000	-78.808	-9.415
2147	126.000	-1.003	-0.863	0.000	-78.808	-7.484
2163	126.000	-0.989	-0.754	0.000	-78.808	3.404
2179	126.000	-0.981	-0.863	0.000	-78.808	-7.533
2195	126.000	-0.976	-0.757	0.000	-78.808	3.144
2211	126.000	-0.812	-0.630	0.000	-78.808	15.814
2227	126.000	-0.959	-0.879	0.000	-78.808	-9.110
2243	126.000	-1.021	-0.981	0.000	-78.808	-19.274
2259	126.000	-0.568	-0.647	0.000	-78.808	14.085
2275	126.000	-0.998	-0.716	0.000	-78.808	7.240
2291	126.000	-0.917	-0.696	0.000	-78.808	9.204
2307	126.000	-0.933	-0.638	0.000	-78.808	15.016
2323	126.000	-1.001	-0.762	0.000	-78.808	2.624
2339	126.000	-1.000	-0.889	0.000	-78.808	-10.056
2355	126.000	-0.984	-0.891	0.000	-78.808	-10.288
2371	126.000	-0.967	-0.637	0.000	-78.808	15.114
2387	126.000	-0.953	-0.822	0.000	-78.808	-3.401
2403	126.000	-1.035	-0.631	0.000	-78.808	15.732
2419	126.000	-0.934	-1.017	0.000	-78.808	-22.897
2435	126.000	-0.978	-0.699	0.000	-78.808	8.949
2451	126.000	-0.973	-1.014	0.000	-78.808	-22.570
2467	126.000	-0.961	-0.962	0.000	-78.808	-17.416
2483	126.000	-0.955	-0.611	0.000	-78.808	17.687
2499	126.000	-0.999	-0.935	0.000	-78.808	-14.679
2515	126.000	-0.981	-0.776	0.000	-78.808	1.185
2531	126.000	-0.981	-1.001	0.000	-78.808	-21.317
2547	126.000	-0.614	-0.591	0.000	-78.808	19.668
2563	126.000	-0.951	-0.548	0.000	-78.808	24.050
2579	126.000	-1.018	-0.824	0.000	-78.808	-3.571
2595	126.000	-0.874	-0.848	0.000	-78.808	-5.945
2611	126.000	-0.989	-0.874	0.000	-78.808	-8.635
2627	126.000	-0.919	-0.671	0.000	-78.808	11.706
2643	126.000	-1.000	-0.994	0.000	-78.808	-20.612
2659	126.000	-0.975	-0.580	0.000	-78.808	20.815
2675	126.000	-0.978	-0.601	0.000	-78.808	18.682
2691	126.000	-0.960	-0.539	0.000	-78.808	24.903
2707	126.000	-1.012	-1.007	0.000	-78.808	-21.881
2723	126.000	-1.042	-0.946	0.000	-78.808	-15.834
2739	126.000	-1.000	-0.891	0.000	-78.808	-10.274
2755	126.000	-0.939	-0.541	0.000	-78.808	24.730
2771	126.000	-0.971	-0.605	0.000	-78.808	18.333
2787	126.000	-1.013	-0.821	0.000	-78.808	-3.275
2803	126.000	-0.972	-0.578	0.000	-78.808	20.963
2819	126.000	-0.994	-0.918	0.000	-78.808	-13.040
2835	126.000	-0.990	-0.874	0.000	-78.808	-8.585
2851	126.000	-0.862	-0.889	0.000	-78.808	-10.140
2867	126.000	-0.916	-0.703	0.000	-78.808	8.466
2883	126.000	-0.969	-0.539	0.000	-78.808	24.899
