# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
6	126.000	-0.995	-0.607	0.000	-80.787	20.077
22	126.000	-1.036	-0.867	0.000	-81.671	-5.061
38	126.000	-0.984	-0.963	0.000	-80.322	-16.026
54	126.000	-0.984	-0.644	0.000	-78.808	14.380
70	126.000	-0.962	-0.742	0.000	-79.773	5.530
86	126.000	-0.960	-0.743	0.000	-78.808	4.543
102	126.000	-0.974	-0.577	0.000	-78.875	21.179
118	126.000	-0.848	-0.607	0.000	-79.749	19.023
134	126.000	-1.065	-0.948	0.000	-80.761	-14.048
150	126.000	-0.947	-0.741	0.000	-79.197	5.089
166	126.000	-1.011	-0.823	0.000	-79.876	-2.440
182	126.000	-1.011	-0.791	0.000	-81.649	2.522
198	126.000	-0.928	-0.811	0.000	-78.808	-2.305
214	126.000	-0.811	-0.916	0.000	-78.808	-12.802
230	126.000	-0.931	-0.969	0.000	-78.808	-18.048
246	126.000	-0.964	-0.600	0.000	-80.353	20.384
262	126.000	-0.950	-0.743	0.000	-79.584	5.255
278	126.000	-0.952	-0.589	0.000	-81.130	22.206
294	126.000	-0.843	-0.788	0.000	-78.824	0.065
310	126.000	-1.001	-1.014	0.000	-79.631	-21.781
326	126.000	-0.743	-0.922	0.000	-81.501	-10.688
342	126.000	-1.039	-0.905	0.000	-78.851	-11.658
358	126.000	-0.913	-0.786	0.000	-78.862	0.244
374	126.000	-1.005	-0.938	0.000	-80.795	-13.012
390	126.000	-0.959	-0.689	0.000	-80.774	11.873
406	126.000	-1.009	-0.781	0.000	-78.900	0.811
422	126.000	-1.036	-0.610	0.000	-79.859	18.875
438	126.000	-1.072	-0.972	0.000	-80.322	-16.845
454	126.000	-0.555	4.219	0.000	-79.547	1.417
470	126.000	-1.001	-0.875	0.000	-78.808	-8.724
486	126.000	-0.937	-0.579	0.000	-78.808	20.929
502	126.000	-0.979	-0.720	0.000	-78.852	6.850
518	126.000	-1.014	-0.641	0.000	-79.749	15.638
534	126.000	-0.994	-0.666	0.000	-78.808	12.205
550	126.000	-0.959	-0.620	0.000	-79.159	17.131
566	126.000	-1.018	-0.932	0.000	-79.200	-13.956
582	126.000	-0.952	-0.606	0.000	-78.808	18.187
