# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
11	997.000	-0.287	-0.494	0.000	-55.484	6.049
27	997.000	-0.474	-0.467	0.000	-56.138	9.469
43	997.000	-0.267	-0.694	0.000	-55.681	-13.753
59	997.000	-0.702	-0.589	0.000	-55.353	-3.531
75	997.000	-0.649	-0.575	0.000	-55.354	-2.097
91	997.000	-0.715	-0.700	0.000	-55.689	-14.284
107	997.000	-0.499	-0.474	0.000	-55.604	8.230
123	997.000	-0.659	-0.503	0.000	-56.142	5.888
139	997.000	-0.638	-0.386	0.000	-55.616	16.991
155	997.000	-0.681	-0.423	0.000	-55.357	13.069
171	997.000	-0.693	-0.385	0.000	-55.938	17.405
187	997.000	-0.525	-0.411	0.000	-55.347	14.262
203	997.000	-0.678	-0.765	0.000	-55.357	-21.178
219	997.000	-0.248	4.525	1.000	-55.347	7.797
235	997.000	-0.660	-0.586	0.000	-55.347	-3.235
251	997.000	-0.701	-0.591	0.000	-55.576	-3.551
267	997.000	-0.674	-0.543	0.000	-55.347	1.055
283	997.000	-0.717	-0.658	0.000	-55.349	-10.461
299	997.000	-0.658	-0.562	0.000	-55.347	-0.861
315	997.000	-0.653	-0.486	0.000	-55.593	6.999
331	997.000	-0.499	-0.613	0.000	-55.347	-5.970
347	997.000	-0.588	-0.363	0.000	-55.352	19.018
363	997.000	-0.614	-0.677	0.000	-55.353	-12.352
379	997.000	-0.691	-0.354	0.000	-56.350	20.905
395	997.000	-0.698	-0.661	0.000	-55.500	-10.582
411	997.000	-0.666	-0.402	0.000	-55.355	15.194
427	997.000	-0.710	-0.580	0.000	-56.256	-1.746
443	997.000	-0.715	-0.737	0.000	-56.458	-17.227
459	997.000	-0.650	-0.397	0.000	-55.739	15.995
475	997.000	-0.682	-0.612	0.000	-56.090	-5.131
491	997.000	-0.227	4.331	1.000	-55.500	-11.395
507	997.000	-0.714	-0.690	0.000	-56.026	-13.021
