# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
6350	947.983
526	948.483
6334	948.483
6350	948.467
13870	948.483
14190	948.483
526	948.967
6334	948.967
6350	948.951
13870	948.967
14190	948.967
526	949.451
6334	949.451
6350	949.436
13870	949.451
14190	949.451
526	949.936
6334	949.936
6350	949.920
13870	949.936
14190	949.936
526	950.420
3006	950.483
4350	950.483
6334	950.420
6350	950.405
9294	950.483
13870	950.420
14190	950.420
526	950.905
1374	950.983
6334	950.905
6350	950.890
8830	950.983
9294	950.967
10542	950.983
13870	950.905
14190	950.905
526	951.390
1870	951.482
2878	951.483
3006	951.467
5454	951.483
5630	951.483
6334	951.390
6350	951.375
10574	951.482
11662	951.483
11790	951.483
13870	951.390
14190	951.390
526	951.875
1854	951.983
2574	951.983
2734	951.983
3806	951.982
3902	951.983
4334	951.982
4350	951.968
5310	951.981
5438	951.983
6334	951.875
6350	951.861
9118	951.983
9294	951.952
10334	951.983
10478	951.983
10510	951.983
10558	951.982
13870	951.875
14190	951.875
526	952.361
1278	952.483
1342	952.483
1374	952.468
3038	952.483
3838	952.483
4206	952.483
5454	952.467
6334	952.361
9214	952.483
10014	952.483
10142	952.482
10302	952.483
10382	952.483
10590	952.483
11662	952.467
12558	952.483
13870	952.361
14190	952.361
526	952.846
1326	952.983
1534	952.983
1582	952.983
1806	952.983
1870	952.967
2926	952.983
4062	952.983
4190	952.983
5438	952.967
6334	952.846
8782	952.983
8830	952.968
9230	952.983
9294	952.937
10046	952.983
10110	952.982
10254	952.981
10334	952.967
10542	952.968
10558	952.967
10590	952.966
11486	952.983
11534	952.979
11886	952.983
2958	953.483
3070	953.482
4094	953.483
4206	953.467
6334	953.332
9342	953.483
11326	953.483
11598	953.483
11790	953.468
14190	953.349
526	953.835
2542	953.983
2718	953.983
2974	953.983
8814	953.983
9038	953.983
9166	953.983
10158	953.983
12862	953.983
12910	953.983
12942	953.983
13118	953.983
13870	953.851
