# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms
6757	948.483
7909	948.483
6757	948.967
7909	948.967
6757	949.451
7909	949.451
6757	949.936
7909	949.936
1269	950.483
5557	950.483
6757	950.420
7909	950.420
3765	950.983
5461	950.983
5557	950.967
6757	950.905
7909	950.905
9061	950.983
10245	950.983
10373	950.982
12533	950.983
13045	950.983
1269	951.467
1381	951.483
2517	951.482
2549	951.483
2757	951.483
6757	951.390
7909	951.390
11285	951.482
11669	951.483
1349	951.983
1365	951.983
1605	951.983
2597	951.983
2981	951.983
4213	951.983
4245	951.982
4293	951.983
5541	951.983
5557	951.952
6757	951.875
7909	951.875
9237	951.983
9317	951.983
12517	951.983
12837	951.983
1269	952.452
1525	952.483
2517	952.466
2853	952.483
3989	952.483
6757	952.361
7909	952.361
9061	952.468
10021	952.483
10245	952.468
10373	952.467
10405	952.483
11285	952.467
11605	952.483
11669	952.467
11781	952.483
11829	952.483
12533	952.468
12933	952.483
1253	952.983
1349	952.967
1381	952.968
2725	952.983
3877	952.983
6757	952.846
7909	952.846
10021	952.967
10229	952.983
10469	952.983
10485	952.983
11269	952.983
11557	952.983
11813	952.983
12837	952.967
12933	952.967
12949	952.983
2661	953.483
2757	953.468
5461	953.468
5525	953.483
9285	953.483
10581	953.483
11685	953.483
12517	953.468
12709	953.483
13093	953.483
2837	953.983
3029	953.983
4069	953.983
7909	953.835
8789	953.983
8869	953.983
8885	953.983
12933	953.952
13045	953.969
