# NEST version: 3.6.0-post0.dev0
# RecordingBackendASCII version: 2
sender	time_ms	V_m	I_tot	I_exc	I_inh	I_noise
1	126.000	-0.954	-0.707	0.000	-78.848	8.157
17	126.000	-0.965	-1.010	0.000	-78.808	-22.168
33	126.000	-1.014	-1.038	0.000	-79.532	-24.261
49	126.000	-1.018	-0.633	0.000	-78.870	15.580
65	126.000	-0.995	-0.740	0.000	-78.808	4.815
81	126.000	-1.025	-0.723	0.000	-82.048	9.790
97	126.000	-1.032	-1.004	0.000	-78.828	-21.552
113	126.000	-1.003	-0.917	0.000	-79.863	-11.843
129	126.000	-0.999	-0.929	0.000	-79.152	-13.709
145	126.000	-1.018	-0.968	0.000	-79.157	-17.662
161	126.000	-0.937	-0.869	0.000	-78.863	-7.988
177	126.000	-1.015	-0.611	0.000	-81.057	19.945
193	126.000	-1.002	-0.900	0.000	-79.170	-10.816
209	126.000	-0.995	-0.708	0.000	-79.980	9.218
225	126.000	-1.015	-0.878	0.000	-80.289	-7.495
241	126.000	-0.982	-0.566	0.000	-79.571	22.928
257	126.000	-0.954	-0.559	0.000	-78.830	22.907
273	126.000	-0.954	-0.870	0.000	-79.580	-7.371
289	126.000	-0.998	-0.792	0.000	-79.537	0.333
305	126.000	-0.825	-0.561	0.000	-78.873	22.752
321	126.000	-1.008	-1.036	0.000	-78.922	-24.716
337	126.000	-1.037	-0.940	0.000	-81.981	-12.023
353	126.000	-1.038	-0.717	0.000	-80.802	9.089
369	126.000	-0.999	-0.677	0.000	-78.808	11.072
385	126.000	-0.950	-0.720	0.000	-79.527	7.564
401	126.000	-1.000	-0.824	0.000	-78.873	-3.570
417	126.000	-1.021	-0.861	0.000	-80.342	-5.733
433	126.000	-0.509	4.134	0.000	-78.808	-7.774
449	126.000	-0.934	-0.839	0.000	-79.542	-4.319
465	126.000	-1.002	-0.736	0.000	-80.396	6.815
481	126.000	-1.009	-0.819	0.000	-79.150	-2.709
497	126.000	-1.013	-0.705	0.000	-78.808	8.281
513	126.000	-0.963	-0.631	0.000	-78.808	15.671
529	126.000	-0.331	4.161	0.000	-79.152	-4.793
545	126.000	-1.006	-0.860	0.000	-79.157	-6.868
561	126.000	-0.991	-0.988	0.000	-78.846	-19.920
577	126.000	-0.940	-0.968	0.000	-78.828	-18.011
593	126.000	-1.041	-0.889	0.000	-79.154	-9.733
609	126.000	-0.911	-0.551	0.000	-78.808	23.749
625	126.000	-1.001	-0.600	0.000	-79.573	19.560
641	126.000	-0.982	-0.654	0.000	-78.808	13.369
657	126.000	-1.004	-1.006	0.000	-78.830	-21.729
673	126.000	-0.924	-0.566	0.000	-79.548	22.997
689	126.000	-0.998	-0.639	0.000	-78.808	14.881
705	126.000	-1.030	-0.864	0.000	-78.824	-7.543
721	126.000	-1.015	-1.036	0.000	-78.828	-24.730
737	126.000	-0.977	-0.716	0.000	-78.808	7.196
753	126.000	-0.982	-0.730	0.000	-78.808	5.832
769	126.000	-0.998	-0.868	0.000	-78.808	-8.000
785	126.000	-0.949	-0.682	0.000	-78.808	10.652
801	126.000	-0.991	-1.037	0.000	-78.808	-24.930
817	126.000	-0.971	-0.851	0.000	-78.808	-6.246
833	126.000	-0.608	-0.674	0.000	-78.808	11.391
849	126.000	-0.928	-0.627	0.000	-78.808	16.099
865	126.000	-0.816	-0.640	0.000	-78.808	14.857
881	126.000	-0.986	-0.687	0.000	-78.808	10.100
897	126.000	-0.935	-0.748	0.000	-78.808	4.026
913	126.000	-1.000	-0.908	0.000	-78.808	-12.025
929	126.000	-0.975	-0.890	0.000	-78.808	-10.202
945	126.000	-1.041	-1.009	0.000	-78.808	-22.116
961	126.000	-0.966	-0.752	0.000	-78.808	3.651
977	126.000	-1.026	-0.942	0.000	-78.808	-15.372
993	126.000	-0.972	-0.538	0.000	-78.808	24.996
1009	126.000	-0.947	-0.871	0.000	-78.808	-8.292
1025	126.000	-0.993	-0.633	0.000	-78.808	15.489
1041	126.000	-0.972	-0.680	0.000	-78.808	10.844
1057	126.000	-0.982	-0.687	0.000	-78.808	10.062
1073	126.000	-0.948	-0.810	0.000	-78.808	-2.183
1089	126.000	-0.992	-1.022	0.000	-78.808	-23.379
1105	126.000	-1.009	-0.709	0.000	-78.808	7.957
1121	126.000	-0.978	-0.613	0.000	-78.808	17.511
1137	126.000	-0.944	-0.541	0.000	-78.808	24.710
1153	126.000	-0.975	-0.776	0.000	-78.808	1.254
1169	126.000	-0.991	-0.807	0.000	-78.808	-1.863
1185	126.000	-0.969	-0.657	0.000	-78.808	13.151
1201	126.000	-0.837	-0.597	0.000	-78.808	19.077
1217	126.000	-1.024	-0.828	0.000	-78.808	-3.987
1233	126.000	-0.565	-0.800	0.000	-78.808	-1.185
1249	126.000	-0.962	-0.693	0.000	-78.808	9.516
1265	126.000	-0.994	-0.750	0.000	-78.808	3.853
1281	126.000	-0.994	-0.754	0.000	-78.808	3.398
1297	126.000	-1.045	-0.956	0.000	-78.808	-16.814
1313	126.000	-0.971	-0.631	0.000	-78.808	15.728
1329	126.000	-0.940	-0.800	0.000	-78.808	-1.157
1345	126.000	-0.970	-0.711	0.000	-78.808	7.660
1361	126.000	-0.909	-0.833	0.000	-78.808	-4.512
1377	126.000	-0.975	-0.948	0.000	-78.808	-15.944
1393	126.000	-1.019	-0.925	0.000	-78.808	-13.742
1409	126.000	-0.970	-0.796	0.000	-78.808	-0.788
1425	126.000	-0.872	-0.824	0.000	-78.808	-3.595
1441	126.000	-0.929	-0.676	0.000	-78.808	11.163
1457	126.000	-0.989	-0.737	0.000	-78.808	5.152
1473	126.000	-0.978	-0.875	0.000	-78.808	-8.692
1489	126.000	-0.959	-0.711	0.000	-78.808	7.753
1505	126.000	-0.997	-0.957	0.000	-78.808	-16.939
1521	126.000	-1.012	-0.981	0.000	-78.808	-19.295
1537	126.000	-1.008	-1.017	0.000	-78.808	-22.872
1553	126.000	-1.018	-0.986	0.000	-78.808	-19.801
1569	126.000	-1.014	-0.889	0.000	-78.808	-10.101
1585	126.000	-0.922	-1.037	0.000	-78.808	-24.861
1601	126.000	-1.014	-0.824	0.000	-78.808	-3.630
1617	126.000	-0.995	-0.830	0.000	-78.808	-4.195
1633	126.000	-0.443	4.370	1.000	-78.808	15.809
1649	126.000	-0.917	-0.611	0.000	-78.808	17.669
1665	126.000	-1.047	-1.004	0.000	-78.808	-21.637
1681	126.000	-0.990	-0.654	0.000	-78.808	13.433
1697	126.000	-0.932	-0.891	0.000	-78.808	-10.251
1713	126.000	-0.992	-0.681	0.000	-78.808	10.754
1729	126.000	-0.990	-0.816	0.000	-78.808	-2.813
1745	126.000	-0.969	-0.989	0.000	-78.808	-20.111
1761	126.000	-0.977	-0.594	0.000	-78.808	19.424
1777	126.000	-0.943	-0.985	0.000	-78.808	-19.657
1793	126.000	-1.031	-0.732	0.000	-78.808	5.625
1809	126.000	-0.889	-1.028	0.000	-78.808	-23.950
1825	126.000	-0.974	-0.565	0.000	-78.808	22.334
1841	126.000	-0.981	-0.706	0.000	-78.808	8.236
1857	126.000	-0.948	-0.743	0.000	-78.808	4.521
1873	126.000	-0.991	-0.729	0.000	-78.808	5.889
1889	126.000	-0.958	-0.690	0.000	-78.808	9.806
1905	126.000	-0.960	-0.539	0.000	-78.808	24.895
1921	126.000	-0.911	-0.961	0.000	-78.808	-17.306
1937	126.000	-0.754	-0.805	0.000	-78.808	-1.681
1953	126.000	-0.984	-0.944	0.000	-78.808	-15.577
1969	126.000	-0.976	-0.820	0.000	-78.808	-3.145
1985	126.000	-0.983	-0.627	0.000	-78.808	16.062
2001	126.000	-0.448	4.335	1.000	-78.808	12.344
2017	126.000	-0.974	-0.770	0.000	-78.808	1.776
2033	126.000	-0.997	-1.009	0.000	-78.808	-22.062
2049	126.000	-1.016	-0.915	0.000	-78.808	-12.657
2065	126.000	-1.004	-0.790	0.000	-78.808	-0.216
2081	126.000	-1.011	-0.625	0.000	-78.808	16.286
2097	126.000	-1.012	-0.765	0.000	-78.808	2.317
2113	126.000	-0.980	-0.638	0.000	-78.808	15.040
2129	126.000	-0.984	-0.877	0.000	-78.808	-8.865
2145	126.000	-0.657	-0.836	0.000	-78.808	-4.781
2161	126.000	-1.018	-0.982	0.000	-78.808	-19.421
2177	126.000	-0.972	-0.892	0.000	-78.808	-10.392
2193	126.000	-0.997	-0.736	0.000	-78.808	5.193
2209	126.000	-0.957	-0.579	0.000	-78.808	20.929
2225	126.000	-0.985	-0.763	0.000	-78.808	2.539
2241	126.000	-0.895	-0.767	0.000	-78.808	2.123
2257	126.000	-0.962	-0.749	0.000	-78.808	3.956
2273	126.000	-1.021	-0.659	0.000	-78.808	12.934
2289	126.000	-1.016	-0.598	0.000	-78.808	18.962
2305	126.000	-0.941	-0.731	0.000	-78.808	5.739
2321	126.000	-0.942	-0.833	0.000	-78.808	-4.485
2337	126.000	-1.017	-0.729	0.000	-78.808	5.949
2353	126.000	-0.962	-0.837	0.000	-78.808	-4.900
2369	126.000	-1.005	-0.936	0.000	-78.808	-14.800
2385	126.000	-0.794	-0.893	0.000	-78.808	-10.485
2401	126.000	-0.959	-0.783	0.000	-78.808	0.535
2417	126.000	-1.002	-0.970	0.000	-78.808	-18.231
2433	126.000	-1.037	-0.990	0.000	-78.808	-20.241
2449	126.000	-0.732	-0.540	0.000	-78.808	24.830
2465	126.000	-0.996	-0.697	0.000	-78.808	9.112
2481	126.000	-0.997	-0.753	0.000	-78.808	3.482
2497	126.000	-1.017	-0.947	0.000	-78.808	-15.850
2513	126.000	-0.993	-0.825	0.000	-78.808	-3.675
2529	126.000	-0.954	-0.689	0.000	-78.808	9.905
2545	126.000	-0.924	-0.622	0.000	-78.808	16.592
2561	126.000	-0.993	-0.725	0.000	-78.808	6.292
2577	126.000	-0.988	-0.618	0.000	-78.808	17.007
2593	126.000	-0.994	-0.555	0.000	-78.808	23.325
2609	126.000	-1.009	-0.878	0.000	-78.808	-9.042
2625	126.000	-0.966	-0.965	0.000	-78.808	-17.678
2641	126.000	-1.018	-1.025	0.000	-78.808	-23.701
2657	126.000	-0.995	-0.794	0.000	-78.808	-0.554
2673	126.000	-1.004	-1.028	0.000	-78.808	-23.946
2689	126.000	-0.394	-0.678	0.000	-78.808	10.999
2705	126.000	-0.997	-0.921	0.000	-78.808	-13.333
2721	126.000	-0.968	-0.749	0.000	-78.808	3.894
